ROA(%),ROE(%),กำไรต่อหุ้น (บาท),กำไรสุทธิ,งวดงบการเงิน ณ วันที่,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,สินทรัพย์รวม,ส่วนของผู้ถือหุ้น,หนี้สินรวม,อัตรากำไรสุทธิ(%),Stock
-1.76,0.04,0.07,0.49,31/12/2557,75.00,"2,866.64","1,585.91","1,221.21",364.60,0.02,CHOTI
2.51,2.57,4.19,31.43,31/12/2558,75.00,"2,335.20","1,688.20","1,228.46",459.63,1.35,CHOTI
8.45,9.85,16.69,125.16,31/12/2559,75.00,"3,484.25","1,768.07","1,313.75",454.19,3.59,CHOTI
1.14,1.02,1.71,12.81,31/12/2560,75.00,"3,506.62","2,052.59","1,207.33",845.13,0.37,CHOTI
0.09,0.02,0.00,0.29,31/12/2557,"2,780.00",39.23,"1,557.73","1,553.75",3.98,0.75,EE
-6.81,-6.82,-0.04,-102.52,31/12/2558,"2,780.00",10.32,"1,455.12","1,451.23",3.89,-993.50,EE
-10.59,-10.62,-0.05,-146.37,31/12/2559,"2,780.00",3.87,"1,308.76","1,304.86",3.90,"-3,786.40",EE
3.43,3.46,0.02,46.08,31/12/2560,"2,780.00",102.39,"1,390.10","1,358.94",31.16,45.01,EE
14.17,22.24,1.42,"1,779.59",31/12/2557,"1,253.82","18,401.01","13,737.41","8,633.26","5,004.43",9.67,GFPT
9.17,13.31,0.95,"1,194.92",31/12/2558,"1,253.82","16,950.47","14,976.32","9,326.74","5,533.07",7.05,GFPT
12.59,16.45,1.31,"1,643.70",31/12/2559,"1,253.82","17,394.11","16,160.33","10,657.77","5,381.24",9.45,GFPT
12.24,15.41,1.39,"1,748.35",31/12/2560,"1,253.82","17,518.73","17,365.56","12,030.09","5,204.58",9.98,GFPT
6.97,6.99,0.19,177.44,31/12/2557,922.18,"3,834.74","2,887.18","2,525.15",337.54,4.63,LEE
5.18,5.78,0.16,145.56,31/12/2558,922.18,"3,505.79","2,827.41","2,513.00",288.57,4.15,LEE
10.21,9.56,0.27,248.14,31/12/2559,922.18,"3,478.95","2,995.53","2,676.55",291.68,7.13,LEE
7.57,7.19,0.21,191.14,31/12/2560,922.18,"3,368.10","2,989.21","2,638.26",322.47,5.67,LEE
4.24,5.13,0.81,"1,037.76",31/12/2557,"1,280.00","77,741.72","37,790.53","20,491.67","17,198.66",1.33,STA
