Stock,กองทุนทดแทนความเสียหายในระบบการชำระราคาและส่งมอบหลักทรัพย์,กิจการที่เกี่ยวข้องกัน,ค่าความนิยม,ค่าความนิยม - สุทธิ,ค่าลิขสิทธิ์ซอฟแวร์,ค่าใช้จ่ายจ่ายล่วงหน้า,ค่าใช้จ่ายรอตัดบัญชี,งานระหว่างทำ,จากการให้เช่าและบริการ,จากเงินปันผลและดอกเบี้ย,ดอกเบี้ยค้างรับ,ตราสารหนี้ที่จะถือจนครบกำหนด,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนโครงการพัฒนาอสังหาริมทรัพย์,ทรัพย์สินรอการขาย - สุทธิ,ที่ดิน อาคาร และอุปกรณ์,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,ที่ดิน อาคาร และอุปกรณ์ตามสัญญาเช่าการเงิน,บริษัทย่อย,บริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกัน,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ภาระของลูกค้าจากการรับรอง,ภาษีซื้อที่ยังไม่ถึงกำหนด,ภาษีมูลค่าเพิ่มค้างรับ,ภาษีมูลค่าเพิ่มรอเรียกคืน,ภาษีเงินได้ระหว่างการขอคืน,ภาษีเงินได้หัก ณ ที่จ่าย,มูลค่างานที่เสร็จยังไม่ได้เรียกเก็บ,รวมสินทรัพย์,รวมสินทรัพย์หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายได้ค้างรับ,รายได้จากการลงทุนค้างรับ,ลูกหนี้,ลูกหนี้การค้าและลูกหนี้อื่น,ลูกหนี้จากการขายเงินลงทุน,ลูกหนี้จากผลตอบแทนในสิทธิการเช่าอสังหาริมทรัพย์,ลูกหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,ลูกหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะยาวอื่นที่ถึงกำหนดภายในหนึ่งปี,ลูกหนี้ระยะสั้นอื่น - สุทธิ,ลูกหนี้สำนักหักบัญชี,ลูกหนี้อื่น - สุทธิ,วัตถุดิบ อะไหล่และวัสดุสิ้นเปลือง,สิทธิการเช่า - สุทธิ,สิทธิในการเรียกคืนหลักทรัพย์ / ภาระของลูกค้าจากการประกอบธุรกิจอื่น,สิทธิในสัมปทาน,สินค้าคงเหลือ,สินค้าระหว่างทาง,สินค้าสำเร็จรูป,สินทรัพย์,สินทรัพย์จากการประกันภัยต่อสุทธิ,สินทรัพย์ชีวภาพ,สินทรัพย์ชีวภาพ - สุทธิ,สินทรัพย์ตราสารอนุพันธ์,สินทรัพย์ตราสารอนุพันธ์หมุนเวียน,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,สินทรัพย์ทางการเงิน,สินทรัพย์ทางการเงินหมุนเวียนอื่น,สินทรัพย์ทางการเงินไม่หมุนเวียนอื่น,สินทรัพย์ภายใต้สัญญาสัมปทาน,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,สินทรัพย์ลงทุน,สินทรัพย์หมุนเวียนอื่น,สินทรัพย์หมุนเวียนอื่น - อื่น ๆ,สินทรัพย์อื่น - สุทธิ,สินทรัพย์อื่น - อื่น ๆ,สินทรัพย์ไม่มีตัวตน - สุทธิ,สินทรัพย์ไม่มีตัวตนอื่น,สินทรัพย์ไม่หมุนเวียน - อื่น ๆ,สินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,สินทรัพย์ไม่หมุนเวียนอื่น,ส่วนที่เพิ่มขึ้นจากการตีราคาที่ดิน อาคาร และอุปกรณ์,ส่วนที่เพิ่มขึ้นจากการตีสินทรัพย์ไม่มีตัวตน,ส่วนปรับปรุงที่ดิน อาคาร และอุปกรณ์,หลักทรัพย์ซื้อโดยมีสัญญาขายคืน,หัก ค่าตัดจำหน่ายสะสมสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าของเงินลงทุน,หัก ค่าเผื่อการด้อยค่าค่าความนิยม,หัก ค่าเผื่อการด้อยค่าที่ดิน อาคาร และอุปกรณ์,หัก ค่าเผื่อการด้อยค่าสินทรัพย์ไม่มีตัวตน,หัก ค่าเผื่อการด้อยค่าอสังหาริมทรัพย์เพื่อการลงทุน,หัก ค่าเผื่อการปรับมูลค่าจากการปรับโครงสร้างหนี้,หัก ค่าเผื่อการลดมูลค่าของสินค้าคงเหลือ,หัก ค่าเผื่อหนี้สงสัยจะสูญ,หัก ค่าเสื่อมราคาสะสมที่ดิน อาคาร และอุปกรณ์,หัก ค่าเสื่อมราคาสะสมอสังหาริทรัพย์เพื่อการลงทุน,หัก รายได้รอตัดบัญชี,อสังหาริมทรัพย์รอการขาย,อสังหาริมทรัพย์เพื่อการลงทุน,อสังหาริมทรัพย์เพื่อการลงทุน - สุทธิ,อื่น ๆ,เครื่องหมายการค้า,เงินค้างรับเกี่ยวกับการประกันภัยต่อ,เงินจ่ายล่วงหน้า,เงินทดรองจ่ายและเงินให้กู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างรับ,เงินฝากระยะยาวในสถาบันการเงิน,เงินฝากสถาบันการเงินที่มีข้อจำกัดในการใช้,เงินมัดจำ,เงินลงทุน - สุทธิ,เงินลงทุน - อื่น ๆ,เงินลงทุนซึ่งบันทึกโดยวิธีราคาทุน,เงินลงทุนที่จะถือจนครบกำหนด,เงินลงทุนระยะยาว,เงินลงทุนระยะสั้น,เงินลงทุนระยะสั้นที่มีภาระผูกพัน,เงินลงทุนอื่น,เงินลงทุนเผื่อขาย,เงินลงทุนเพื่อค้า,เงินลงทุนแสดงตามมูลค่ายุติธรรม,เงินลงทุนในบริษัทร่วม กิจการร่วมค้า และ/หรือ กิจการที่ควบคุมร่วมกันซึ่งบันทึกโดยวิธีส่วนได้เสีย,เงินลงทุนในหลักทรัพย์,เงินลงทุนในอสังหาริมทรัพย์,เงินวางไว้จากการประกันภัยต่อ,เงินสดและรายการเทียบเท่าเงินสด,เงินให้กู้ยืมระยะยาว - สุทธิจากส่วนที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมระยะยาวที่ถึงกำหนดภายในหนึ่งปี,เงินให้กู้ยืมแก่พนักงาน,เงินให้กู้ยืมและลูกหนี้,เงินให้สินเชื่อ ลูกหนี้ และดอกเบี้ยค้างรับ - สุทธิ,เงินให้สินเชื่อแก่สถาบันการเงิน,เบี้ยประกันภัยค้างรับสุทธิ,โดยมีกรมธรรม์ประกันภัยเป็นประกัน,โดยมีทรัพย์สินจำนองเป็นประกัน,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย
CHOTI,,,,,,,,,,,,,,,,,,281.06,,,,,,,,,,,,,"2,052.59","1,586.43",466.16,,,,,189.46,,,,,,,,,,,,,"1,390.29",,,(หน่วย: ล้านบาท),,,,,,,,,,,44.02,,,,,,0.98,,,,0.12,,,,,,,,,,,,,,,,,,17.39,17.39,,,,,,,,,,,,,0.05,,0.05,,,,,,,122.53,,,,6.68,,,,,,,,,,,
EE,,,,,,,,,,,,,,,,,,140.14,,,,,,,,,,,,,"1,390.10",8.62,"1,381.48",,,,,,,,,,,4.91,,,,,,,0.03,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,0.61,0.61,,,,,,,46.81,,,,,,,,,,,,,,,,,,355.19,355.19,,,,,,,,,35.25,,,,,,,,,,,,,804.09,,,,3.06,,,,,,,,,,,
GFPT,,,1.29,1.29,21.11,,,,,,,,,,,,"8,012.60","8,012.60",,,,,,,,,,,,,"17,365.56","5,371.82","11,993.74",,,,,"1,013.27",,,,,,,,,,,,,"3,608.19",,,(หน่วย: ล้านบาท),,482.20,482.20,,,,,,,,383.79,,14.10,14.10,,,21.11,,66.90,,66.90,,,,,,,,,,,,,,,,,,354.07,354.07,,,,,,,,,,,,,,,,,,,,,,"2,671.77",,,,736.26,,,,,,,,,,,
LEE,,,,,,,,,,,,,,,,,691.43,691.43,,,9.18,,,,,,,,,,"2,989.21","2,210.79",778.42,,,,,213.42,,,,,,,,,,,,,682.69,,,(หน่วย: ล้านบาท),,,,,,,,,,,,,13.30,,,,,,,,45.37,,,,,,,,,,,,,,,,,,14.00,14.00,,,,,,,,,,,,,27.61,,18.43,"1,259.85",,,,,,,,,,41.53,,,,,,,,,,,
STA,,,"2,953.78","2,953.78",,,,,,,,,,,,,,"24,189.69",,,,,810.54,,,,,,,,"59,707.78","28,349.37","31,358.42",,,,,"7,212.31",,,,,,810.54,,,,,,,"17,122.98",,,(หน่วย: ล้านบาท),,,"1,832.38",,407.94,,,,,,197.99,,553.70,,,,459.79,,640.43,,640.43,,,,,,,,,,,,,,,,,,188.91,188.91,,,,,,,,,12.14,,,,153.30,,153.30,,,,,,,730.00,,,,"2,241.90",,,,,,,,,,,
TLUXE,,,16.26,16.26,,,,,,,,,,,,,"1,494.46","1,494.46",,,,72.45,,,,,,,,,"3,929.95",908.28,"3,021.68",,,,,193.79,,,,,,,,,,,,,217.86,,,(หน่วย: ล้านบาท),,,,,,,,,,,39.78,,29.66,,,,123.47,,216.32,,398.17,,,,,,,,,,,,,,,,,,10.38,10.38,,,,181.85,,,,,7.80,,,,858.93,,858.93,418.69,,,,,,,,,,48.29,72.45,,,,,,,,,,
TRUBB,,,,,,,,,,,,,,,877.44,,"3,343.09","3,343.09",,,,,107.75,,,,,,,,"8,007.62","2,658.60","5,349.02",,,,,971.29,,,,,,107.75,,,,193.16,,,"1,306.34",,,(หน่วย: ล้านบาท),,,,,,,,,,,19.42,,83.06,,,,5.25,5.25,173.87,,210.41,,,,,,,,,,,,,,,,,,557.95,557.95,,,,36.55,,,,,10.00,,,,100.00,,100.00,,,,,,,32.30,,,,190.17,,,,,,,,,,,
TWPC,,,100.68,100.68,,,,,,,,,,,,,"2,561.42","2,561.42",,,,,,,,,,,,,"7,116.48","3,148.04","3,968.44",,,,,740.42,,,,,,,,,,,,,839.81,,,(หน่วย: ล้านบาท),,,,,,,,,,,3.36,,119.96,,,,543.30,,,,15.27,,,,,,,,,,,,,,,,,,160.81,160.81,,,,,,,,,65.53,,,,484.51,,484.51,620.77,,,,,,33.55,,,,827.07,,,,,,,,,,,
UPOIC,,,,,,,,,,,,,,,,,,878.76,,,31.59,,21.16,,,,,,,,"1,520.11",280.53,"1,239.58",,,,,51.09,,,,,,,,,,,,,106.27,,,(หน่วย: ล้านบาท),,,70.62,,,,,,,230.73,3.60,,11.18,,,,0.41,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,31.59,,,,,,,,,,,,,111.73,21.16,,,,,,,,,,
UVAN,,,17.29,17.29,,13.28,,,,,,,,,,,,"2,262.83",,,,,0.69,,,,,,,,"4,127.45","1,764.68","2,362.77",,,,,271.19,,,,,,,,,,,,,543.26,,,(หน่วย: ล้านบาท),,,,,,,,,,,54.05,,123.46,123.46,,,,,14.01,,27.92,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,826.77,0.69,,,,,,,,,,
VPO,,,,,,,,,,,,,,,,,,"1,211.09",,,,,,,,,,,,,"1,485.90",265.56,"1,220.34",,,,,16.22,,,,,,,,,,,,,248.28,,,(หน่วย: ล้านบาท),,,,,,,,,,,3.47,,,,,,2.24,,2.39,,2.39,,,,,,,,,,,,,,,,,,1.15,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,
APURE,,,,,16.54,,,,,,,,,,,,"1,262.02",845.20,3.51,,,3.07,0.65,,3.29,14.15,,,,,"1,642.39",769.71,872.68,,,,,170.51,,,,,,,,,,,,,189.94,,,(หน่วย: ล้านบาท),,,,,,,,,,,0.34,,113.86,45.04,,,1.23,,1.79,,1.79,,,,,15.31,,,,,,,,45.94,420.33,,,,,,,,,,24.60,,,,,51.38,,,23.47,,23.47,22.68,,,,,,0.00,,,,248.12,0.65,,,,,,,,,,
ASIAN,,,,,,,,,,,,,,,,,"2,659.56","2,659.56",,,,,,,,,,,,,"6,810.68","3,948.05","2,862.64",,,,,"1,190.89",,,,,,,,,,,,,"2,682.15",,,(หน่วย: ล้านบาท),,,,,,,,,,,95.11,,36.37,,,,42.81,,24.86,,24.86,,,,,,,,,,,,,,,,,,40.30,40.30,,,,,,,,,,,,,,,,,,,,,,,,,,38.64,,,,,,,,,,,
BR,,,"1,954.46","1,954.46",,,,,,,,,,,,,"3,373.80","3,373.80",,,,18.32,11.00,,,,,,,,"9,229.52","2,460.30","6,769.22",,,,,801.67,,,,,,,,,,,,,"1,244.26",,,(หน่วย: ล้านบาท),,109.24,109.24,,,,,,,,92.13,,116.70,116.70,,,703.97,,,,5.32,,,,,,,,,,,,,,,,,,60.23,60.23,,,,,,,,,,,,,102.93,,102.93,0.24,,,,,,337.83,,,,297.43,29.32,,,,,,,,,,
BRR,,,,,,,,,,,,,,,,,,"4,810.70",,,,,308.24,,,,,,,,"9,232.74","2,655.50","6,577.24",,,,,255.56,,,,,,868.43,,,,,,,"1,060.77",,,(หน่วย: ล้านบาท),,,,,,,,,,,194.43,,16.75,,,,26.23,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,,,,,,,,,"1,227.13",,,,229.07,308.24,224.92,,,,,,,,,
