Stock,กำไร (ขาดทุน) จากการทำสัญญาป้องกันความเสี่ยง,กำไร (ขาดทุน) ที่ยังไม่เกิดขึ้นจากการเปลี่ยนแปลงสัดส่วนการลงทุน,กำไร (ขาดทุน) สะสม,กำไร (ขาดทุน) สะสม - ยังไม่ได้จัดสรร,กำไรสะสม - จัดสรรแล้ว,ค่าตอบแทนค้างจ่ายผู้ให้สัมปทานสิทธิ,ค่าเบี้ยประกันรับล่วงหน้า,ค่าใช้จ่ายค้างจ่าย,ค่าใช้จ่ายเกี่ยวกับพนักงานค้างจ่าย,จำนวนหุ้นทุนซื้อคืน (หน่วย : หุ้น),ดอกเบี้ยค้างจ่าย,ตราสารหนี้,ต่างประเทศ - มีดอกเบี้ย,ต่างประเทศ - ไม่มีดอกเบี้ย,ต้นทุนค่าก่อสร้างที่ยังไม่เรียกเก็บ,ทุนจดทะเบียน,ทุนที่ออกและชำระเต็มมูลค่าแล้ว,ทุนที่ได้รับจากผู้ถือหน่วยลงทุน,บัญชีปรับสมดุล,บุคคลหรือกิจการที่เกี่ยวข้องกัน,บุคคลหรือกิจการอื่น,ประมาณการหนี้สิน,ประมาณการหนี้สินระยะยาว,ประมาณการหนี้สินระยะสั้น,ผลต่างจากการแปลงค่างบการเงิน,ภาระจากการรับรอง,ภาระในการส่งคืนหลักทรัพย์,ภาษีธุรกิจเฉพาะค้างจ่าย,ภาษีมูลค่าเพิ่มค้างจ่าย,ภาษีสรรพสามิตค้างจ่าย,ภาษีเงินได้ค้างจ่าย,ภาษีเงินได้นิติบุคคลค้างจ่าย,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้นของบริษัท,รวมหนี้สิน,รวมหนี้สินหมุนเวียน,รวมหนี้สินไม่หมุนเวียน,รายการระหว่างธนาคารและตลาดเงิน,รายการอื่น,รายได้รอการรับรู้ - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รอการรับรู้ - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,รายได้รับล่วงหน้า,สำรองค่าสินไหมทดแทนและค่าสินไหมทดแทนค้างจ่าย,สำรองตามกฎหมาย,สำรองอื่น ๆ,สำรองเบี้ยประกันภัย,สำรองเผื่อหนี้สินจากคดีความฟ้องร้อง,สำรองเพื่อขยายงาน,สำรองเพื่อชำระคืนเงินกู้ยืม,สำรองเพื่อซื้อหุ้นทุนซื้อคืน,สินทรัพย์สุทธิ,สินทรัพย์สุทธิต่อหน่วย (หน่วย : บาท),ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,ส่วนเกิน (ต่ำกว่า) ทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเปลี่ยนแปลงมูลค่ายุติธรรมของเงินลงทุน,ส่วนเกิน (ต่ำกว่า) ทุนจากการเพิ่มทุนของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากรายการในส่วนของผู้ถือหุ้นของบริษัทย่อย และ/หรือ บริษัทร่วม,ส่วนเกิน (ต่ำกว่า) ทุนจากหุ้นทุนซื้อคืน,ส่วนเกิน (ต่ำกว่า) ทุนอื่น,ส่วนเกิน (ต่ำกว่า) ทุนอื่น - อื่น ๆ,ส่วนเกิน (ต่ำกว่า) มูลค่าหุ้น,ส่วนเกินทุนจากการตีราคาสินทรัพย์ถาวร,ส่วนเกินทุนจากการลดทุน,ส่วนเกินทุนจากใบสำคัญแสดงสิทธิที่หมดอายุแล้ว,ส่วนแบ่งผลขาดทุนที่เกินเงินลงทุนในบริษัทร่วม และ/หรือ กิจการร่วมค้า,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,หนี้สินจากสัญญาประกันภัย,หนี้สินจ่ายคืนเมื่อทวงถาม,หนี้สินตราสารอนุพันธ์,หนี้สินตราสารอนุพันธ์หมุนเวียน,หนี้สินตราสารอนุพันธ์ไม่หมุนเวียน,หนี้สินตามสัญญาปรับโครงสร้างหนี้และฟื้นฟูกิจการ,หนี้สินตามสัญญาเช่าการเงิน,หนี้สินตามสัมปทานสิทธิ,หนี้สินทางการเงิน,หนี้สินทางการเงินที่กำหนดให้แสดงด้วยมูลค่ายุติธรรม,หนี้สินทางการเงินหมุนเวียนอื่น,หนี้สินทางการเงินอื่น,หนี้สินทางการเงินไม่หมุนเวียนอื่น,หนี้สินที่เกี่ยวข้องโดยตรงกับสินทรัพย์ไม่หมุนเวียน และ/หรือ กลุ่มสินทรัพย์ที่ยกเลิกซึ่งถือไว้เพื่อขาย,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินผลประโยชน์พนักงานภายหลังเลิกจ้าง - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินภาษีเงินได้รอตัดบัญชี,หนี้สินระยะยาว - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,หนี้สินระยะยาวอื่น,หนี้สินหมุนเวียนอื่น,หนี้สินหมุนเวียนอื่น - อื่น ๆ,หนี้สินอื่น,หนี้สินและทุน,หนี้สินไม่หมุนเวียน - อื่น ๆ,หนี้สินไม่หมุนเวียนอื่น,หลักทรัพย์ขายโดยมีสัญญาซื้อคืน,หุ้นกู้และตราสารหนี้อื่น,หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นทุนซื้อคืน,หุ้นทุนรับซื้อคืน / หุ้นของบริษัทที่ถือโดยบริษัทย่อย,หุ้นบุริมสิทธิ,หุ้นสามัญ,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,อื่น ๆ,เงินกู้ยืม,เงินกู้ยืมระยะยาว,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการที่เกี่ยวข้องกัน,เงินกู้ยืมระยะยาว - บุคคลหรือกิจการอื่น,เงินกู้ยืมระยะยาว - สถาบันการเงิน,เงินกู้ยืมระยะสั้น,เงินกู้ยืมและเงินรับฝาก,เงินค้างจ่ายเกี่ยวกับการประกันภัยต่อ,เงินถือไว้จากการประกันภัยต่อ,เงินทดรองรับและเงินกู้ยืมระยะสั้น,เงินประกันผลงาน,เงินปันผลค้างจ่าย,เงินฝากที่เป็นเงินตราต่างประเทศ,เงินฝากที่เป็นเงินบาท,เงินมัดจำ,เงินมัดจำการเช่าและบริการ,เงินรับฝาก,เงินรับล่วงหน้าค่าหุ้น,เงินรับล่วงหน้าจากลูกค้า - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินรับล่วงหน้าจากลูกค้า - ส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เงินสำรองการเสี่ยงภัยที่ยังไม่สิ้นสุด,เงินเบิกเกินบัญชีและเงินกู้ยืมจากสถาบันการเงิน,เงินเบิกเกินบัญชีและเงินกู้ยืมระยะสั้นจากสถาบันการเงิน,เจ้าหนี้,เจ้าหนี้การค้าและเจ้าหนี้อื่น,เจ้าหนี้ค่าที่ดินและค่าก่อสร้าง,เจ้าหนี้ค้างจ่าย,เจ้าหนี้จากการซื้อเงินลงทุน,เจ้าหนี้จากการแบ่งปันส่วนทุน,เจ้าหนี้ทรัสต์รีซีท,เจ้าหนี้ธุรกิจหลักทรัพย์และสัญญาซื้อขายล่วงหน้า,เจ้าหนี้บริษัทประกันภัยต่อ,เจ้าหนี้ระยะยาวอื่น - สุทธิจากส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะยาวอื่นที่ถึงกำหนดชำระภายในหนึ่งปี,เจ้าหนี้ระยะสั้นอื่น - สุทธิ,เจ้าหนี้สำนักหักบัญชี,เจ้าหนี้อื่น,ในประเทศ - มีดอกเบี้ย,ในประเทศ - ไม่มีดอกเบี้ย,ใบสำคัญแสดงสิทธิ สิทธิซื้อหุ้น และสิทธิในการเลือกซื้อหุ้น
CHOTI,,,"1,006.02",998.52,7.50,,,4.11,,,,,,,,75.00,75.00,,,,,,,,,,,,,,,,"1,207.45","1,207.33",845.13,714.02,131.11,,,,,,,7.50,,,,,,,,,,,,,,,,,156.00,,,,,0.12,,,,,,,,,,,,,,,,131.11,,,,,4.11,,,(หน่วย: ล้านบาท),,,,,,,,,156.00,-29.68,,,,,,,,,,,,,,,,,,,,,,,,650.81,,59.11,,,,,,,,,,,,,,,
EE,,,-858.56,-872.28,13.72,,,,,,,,,,,"2,780.00","2,780.00",,,,27.86,,,,,,,,,,,,"1,358.94","1,358.94",31.16,27.86,3.30,,,,,,,13.72,,,,,,,,,,,,,,,,,-562.50,,,,,,,,,,,,,,,,,,,,,3.30,,,,,,,,(หน่วย: ล้านบาท),,,,,,,,,-562.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.86,,,,,
GFPT,,8.97,"10,242.30","10,102.30",140.00,,,,,,,,,,,"1,400.00","1,253.82",,,160.00,,,,,,,,,,,,134.84,"12,160.99","12,030.09","5,204.58","2,975.28","2,229.30",,,91.58,7.85,,,140.00,,,,,,,,,66.70,,,,,,8.97,,525.00,,,,,130.89,,,,,,,,,,,,,,,,384.97,,,"1,700.00",,165.39,30.54,,(หน่วย: ล้านบาท),52.75,52.75,,,,,,,525.00,8.97,,,,"1,700.00",,66.70,,,,,160.00,,,,,,,,,,,,,"1,650.00",,925.34,,,,,,,,,,,,,,,
LEE,,,808.95,665.32,143.62,,,,,,,,,,,929.07,922.18,,,,,,,,,,,,,,,16.00,"2,666.74","2,638.26",322.47,204.79,117.69,,,,,,,143.62,,,,,,,,,,,,,,,,,681.35,,,,,28.48,,,,,,,,,,,,,,,,,,41.74,,,19.46,3.45,,(หน่วย: ล้านบาท),75.94,75.94,,,,,,,681.35,225.78,,,,,,,,,,,,,,,,,,,,,,,,,,185.33,,,,,,,,,,,,,,,
STA,,-173.13,"7,293.41","7,165.41",128.00,,,,,,,"2,265.00",,,,"1,536.00","1,536.00",,,,,,,,-666.08,,,,,,,153.52,"23,276.89","22,908.03","36,430.89","25,856.48","10,574.41",,,,,,,128.00,,,,,,,,,"1,033.82",,16.43,,,,"3,892.74","4,049.45","10,851.95",,,,,368.86,,,,231.24,,,27.52,,,,,,,,,308.19,,745.03,"9,486.23",,190.55,37.03,,(หน่วย: ล้านบาท),,34.97,,,,,,,"10,851.95","3,226.67",,,,,,"7,193.71",,,,,,,,,,,,,,,,,,"21,786.03",,"2,614.84",,,,,,,,,,,,,,,
TLUXE,,,481.10,424.26,56.85,,,,,,,258.98,,,,568.45,563.05,,,,,,,,,,,,,,,2.86,"1,379.81","1,379.81","2,550.14","1,607.71",942.43,,-194.95,,,,,56.85,,,,,,,,,"1,025.88",,,,,,41.48,41.48,489.12,,,,,,,,,,,,,,,,,,,,,13.55,,60.35,868.53,3.06,9.13,6.27,,(หน่วย: ล้านบาท),,,,,,,,,489.12,-153.47,,,,,606.49,,,,,,,,,,,,,,,,,,,408.76,,163.94,,,,,,,,,,,,,,,
TRUBB,,,-106.94,-242.49,135.56,,,76.06,,,,,,,,"1,881.48","1,685.08",,,8.00,154.78,,,,,,,,,,,9.21,"2,439.08","2,217.45","5,568.54","4,044.45","1,524.09",,"1,300.74",,,,,135.56,,,,,,,,,183.55,"-1,003.60",,,,,"-1,003.60",,342.17,,,,,221.63,,,,,,,90.64,,,,,,,,,67.17,,239.53,"1,214.39",,90.59,5.32,,(หน่วย: ล้านบาท),,3.00,,,,,,,342.17,297.14,,,,,,"1,123.75",,,,,8.00,,,,,,,,,,,,,"3,402.76",,204.76,,,,,,,,,,154.78,,,,,
TWPC,,,"3,542.67","3,452.97",89.70,,,,,,,,,,,880.42,880.42,,,2.65,,,,,,,,,,,,45.12,"5,906.11","5,346.33","1,210.37",808.47,401.90,,-142.37,,,,,89.70,,,,,,,,,34.18,764.87,,,,,764.87,,300.74,,,,,559.78,,,,,,,12.10,,,,,,,,,220.53,,157.47,12.10,,85.93,40.81,,(หน่วย: ล้านบาท),,11.80,,,,,,,300.74,622.50,,,,,,30.50,,,,,2.65,,,,,,,,,,,,,155.95,,529.76,,,,,,,,,,,,,,,
UPOIC,,,423.00,362.19,60.80,,,,,,,,,,,324.05,324.05,,,,,,,,,,,,,,,1.40,"1,068.59","1,068.59",451.52,433.70,17.82,,,,,,,60.80,,,,,,,,,,,,,,,,,321.54,,,,,,,,,,,,,,,,,,,,,17.82,,,,,6.27,4.87,,(หน่วย: ล้านบาท),,,,,,,,,321.54,,,,,,,,,,,,,,,,,,,,,,,,,400.00,,27.43,,,,,,,,,,,,,,,
UVAN,,,"2,729.81","2,662.81",67.00,,,55.87,,,,,,,,470.00,470.00,,,,,,,,,,,,,,,61.94,"3,529.61","3,472.99",597.84,284.42,313.42,,,,,,,47.00,20.00,,,,,,,,19.20,,,,,,,,267.50,,,,,56.62,,,,,,,,,,,,,,,,202.00,,,111.42,,128.50,10.68,,(หน่วย: ล้านบาท),,,,,,,,,267.50,5.68,,,,,19.20,111.42,,,,,,,,,,,,,,,,,,,,136.73,,,,,,,,,,,,,,,
VPO,,,-386.71,-412.01,25.30,,,,,,,,,,,940.00,940.00,,,,,,,,,,,,,,,2.85,709.42,709.42,776.48,531.86,244.62,,,,,,,25.30,,,,,,,,,92.02,-71.76,,,,,-71.76,,227.89,,,,,,,,,,,,1.22,,,,,,,,,7.04,,0.54,236.48,,2.85,,,(หน่วย: ล้านบาท),,0.56,,,,,,,227.89,-71.76,,,,,,235.26,,,,,,0.56,,,,,,,,,,,,376.36,,60.64,,,,,,,,,,,,,,,
APURE,,,307.43,294.46,12.98,,,,,,,,,,,682.01,670.79,,,5.09,64.85,,,,,,,,,,,6.99,"1,528.64","1,510.13",113.75,79.23,34.52,,,,,,,12.98,,,,,,,,,0.30,,,,,,144.52,-0.01,387.40,144.52,,,,18.52,,,,,,,1.95,,,,,,,,,4.05,,28.52,1.95,,8.99,2.01,,(หน่วย: ล้านบาท),,,,,,,,,387.40,144.52,,,,,,,,,,,,,,,,,,,,,,,,,,69.94,,,,,,,,,,,,,,,
ASIAN,,,"1,030.84",976.84,54.00,,,,,,,349.85,,,,542.73,542.73,,,,,,,,,,,,,,,2.61,"2,538.59","2,538.59","4,272.09","2,808.98","1,463.12",,,,,,,54.00,,,,,,,,,869.33,,,,,,,,552.81,,,,,,,,,,,,1.43,,,,,,,,,53.58,,116.83,"1,290.67",,46.59,43.98,,(หน่วย: ล้านบาท),2.04,2.04,,,,,,,552.81,412.20,,,,,,"1,289.24",,,,,,,,,,,,,,,,,,"1,284.13",,608.94,,,,,,,,,,,,,,,
BR,,0.18,"3,858.34","3,629.62",228.72,,,,,,,,,,,"4,569.64","4,567.23",,,,,,,,,,,,,,,73.81,"4,837.36","4,833.95","4,392.16","2,367.06","2,025.09",,5.47,,,,,228.72,,,,,,,,,444.00,"-7,431.24",,,,,"-7,431.06",,"3,833.96",,,,,3.42,,,,,,,,,,,,,,,,40.47,,150.62,"1,810.97",,113.00,39.19,,(หน่วย: ล้านบาท),0.75,23.03,,,,,,,"3,833.96","-7,425.59",,,,,"1,810.97",,,,,,,,,,,22.28,,,,,,,,"1,326.00",,484.06,,,,,,,,,,,,,,,
BRR,,,704.31,652.55,51.76,,,,,,,,,,,812.10,812.10,,,,,,,,,,,,,,,30.89,"2,472.54","2,471.20","6,760.20","2,549.42","4,210.79",,,,,,,51.76,,,,,,,,,633.85,,,,,,,,954.67,,,,,1.33,,,,,,,14.43,,,,,,,,,34.29,7.72,,"4,176.50",,55.42,24.53,,(หน่วย: ล้านบาท),,,,,,,,,954.67,0.13,,,,"3,356.80",,805.27,,,,,,,,,,,,,,,,,,"1,136.30",,716.12,,,,,,,,,,,,,,,
