Industry,Sector,URL
AGRO,AGRI,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=AGRI&market=SET
AGRO,FOOD,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=FOOD&market=SET
CONSUMP,FASHION,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=FASHION&market=SET
CONSUMP,HOME,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=HOME&market=SET
CONSUMP,PERSON,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PERSON&market=SET
FINCIAL,BANK,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=BANK&market=SET
FINCIAL,FIN,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=FIN&market=SET
FINCIAL,INSUR,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=INSUR&market=SET
INDUS,AUTO,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=AUTO&market=SET
INDUS,IMM,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=IMM&market=SET
INDUS,PAPER,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PAPER&market=SET
INDUS,PETRO,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PETRO&market=SET
INDUS,PKG,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PKG&market=SET
INDUS,STEEL,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=STEEL&market=SET
PROPCON,CONMAT,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=CONMAT&market=SET
PROPCON,PROP,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PROP&market=SET
PROPCON,PF&REIT,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PF%26REIT&market=SET
PROPCON,CONS,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=CONS&market=SET
RESOURC,ENERG,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=ENERG&market=SET
RESOURC,MINE,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=MINE&market=SET
SERVICE,COMM,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=COMM&market=SET
SERVICE,HELTH,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=HELTH&market=SET
SERVICE,MEDIA,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=MEDIA&market=SET
SERVICE,PROF,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=PROF&market=SET
SERVICE,TOURISM,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=TOURISM&market=SET
SERVICE,TRANS,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=TRANS&market=SET
TECH,ETRON,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=ETRON&market=SET
TECH,ICT,/C13_MarketSummary.jsp?detail=INDUSTRY&sector=ICT&market=SET
