,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  1.48 ,  1.53 ,  2.01 ,  2.09 ,  2.30 ,  2.33 ,  2.54 
A           ,,,  0.84 ,  1.61 ,  1.62 ,  1.53 ,  1.56 ,  2.14 ,  2.61 ,  2.69 ,  2.77 ,  2.92 ,  2.93 ,  3.15 
ABICO       ,,,,,,,,,,,,,,  2.69 
ACAP        ,,,,  1.40 ,  1.22 ,  2.62 ,  3.23 ,  3.43 ,  2.56 ,  4.13 ,  3.88 ,  2.96 ,  2.79 ,  2.71 
ADAM        ,,  0.62 ,  1.71 ,  1.18 ,  0.27 ,  0.94 ,  0.68 ,  0.49 ,  0.27 ,  0.24 ,  0.07 ,  0.02 ,  0.24 ,  (2.72)
ADVANC      ,  17.37 ,  20.17 ,  22.86 ,  23.79 ,  26.05 ,  25.31 ,  24.62 ,  24.15 ,  13.86 ,  13.20 ,  14.58 ,  15.39 ,  15.72 ,  16.27 
AEONTS      ,  0.93 ,  1.21 ,  1.57 ,  10.10 ,  12.84 ,  15.72 ,  18.64 ,  21.50 ,  23.42 ,  24.93 ,  24.50 ,  29.03 ,  35.62 ,  41.78 
AF          ,,,  0.07 ,  0.06 ,  0.07 ,  0.08 ,  0.09 ,  0.09 ,  0.10 ,  0.26 ,  0.27 ,  0.28 ,  0.28 ,  0.36 
AFC         ,  18.92 ,  21.12 ,  22.70 ,  23.13 ,  21.41 ,  20.81 ,  20.56 ,  20.63 ,  21.07 ,  22.76 ,  21.27 ,  21.55 ,  23.80 ,  22.79 
AGE         ,,,,,,,,  0.04 ,  0.47 ,  0.74 ,  0.71 ,  0.79 ,  0.76 ,  0.82 
AH          ,  0.41 ,  5.07 ,  7.49 ,  14.06 ,  14.06 ,  14.97 ,  15.43 ,  14.67 ,  16.53 ,  14.68 ,  17.69 ,  16.45 ,  17.09 ,  17.98 
AHC         ,  2.51 ,  2.80 ,  3.12 ,  3.59 ,  4.11 ,  4.21 ,  4.50 ,  4.73 ,  5.30 ,  5.78 ,  6.78 ,  7.51 ,  8.27 ,  8.87 
AI          ,,,  0.11 ,  0.53 ,  0.54 ,  0.58 ,  0.46 ,  0.50 ,  0.55 ,  0.51 ,  0.53 ,  0.87 ,  0.73 ,  0.78 
