,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  0.13 ,  0.08 ,  0.10 ,  0.02 ,  0.12 ,  0.10 ,  0.10 
A           ,,,  0.04 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.03 ,  0.03 ,  0.03 ,,  0.04 
ABICO       ,,,,,,,,,,,,,  0.05 ,  0.05 
ACAP        ,,,,  0.20 ,  0.14 ,  0.12 ,  0.25 ,  -   ,  -   ,  -   ,  -   ,  1.00 ,,
ADAM        ,,  0.07 ,  0.13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
ADVANC      ,  1.55 ,  4.10 ,  4.75 ,  6.29 ,  6.30 ,  6.30 ,  6.30 ,  11.30 ,  6.92 ,  8.43 ,  10.90 ,  12.15 ,  12.00 ,  12.99 
AEONTS      ,  0.10 ,  0.14 ,  0.18 ,  1.19 ,  1.47 ,  1.78 ,  2.05 ,  2.10 ,  2.10 ,  2.10 ,  2.20 ,  3.45 ,  3.45 ,  3.45 
AF          ,,,  0.00 ,  -   ,  0.00 ,  0.01 ,  0.01 ,  0.01 ,  -   ,  0.03 ,  0.03 ,  0.70 ,  0.50 ,  0.01 
AFC         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,
AGE         ,,,,,,,,  0.00 ,  0.00 ,  0.00 ,  -   ,  0.00 ,  0.00 ,  0.05 
AH          ,  0.01 ,  0.22 ,  0.63 ,  0.65 ,  0.33 ,  0.31 ,  0.23 ,  -   ,  0.39 ,  0.16 ,  0.61 ,  0.49 ,  0.30 ,  0.30 
AHC         ,  0.23 ,  0.25 ,  0.25 ,  0.17 ,  0.12 ,  0.08 ,  0.10 ,  0.09 ,  0.21 ,  0.29 ,  0.50 ,  0.64 ,  0.65 ,  0.55 
AI          ,,,  0.02 ,  0.06 ,  -   ,  0.08 ,  0.09 ,  0.02 ,  0.04 ,  0.04 ,  0.06 ,  2.00 ,  0.11 ,  0.09 
AIT         ,,  0.18 ,  0.15 ,  0.15 ,  0.30 ,  0.47 ,  1.03 ,  1.30 ,  1.66 ,  1.86 ,  1.49 ,  2.75 ,  2.00 ,  2.05 
