Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  0.24 ,  0.19 ,  0.22 ,  0.18 ,  0.23 ,  0.14 ,  0.11 
A           ,,,  0.10 ,  0.01 ,  0.01 ,  (0.09),  0.04 ,  0.58 ,  0.48 ,  0.08 ,  0.10 ,  0.01 ,  0.04 ,  0.22 
ACAP        ,,,,  0.22 ,  0.16 ,  0.74 ,  (0.52),  0.45 ,  0.89 ,  1.57 ,  (0.25),  (0.43),  (0.17),  (0.10)
ADAM        ,,  0.09 ,  0.31 ,  (0.35),  (0.91),  (0.18),  (0.26),  (0.18),  (0.22),  (0.04),  (0.18),  (0.05),  (0.19),  (2.96)
ADVANC      ,  3.89 ,  6.30 ,  6.88 ,  6.41 ,  5.50 ,  5.51 ,  5.54 ,  5.75 ,  6.92 ,  7.47 ,  11.73 ,  12.20 ,  12.12 ,  13.17 
AEONTS      ,  0.23 ,  0.37 ,  0.50 ,  3.14 ,  3.92 ,  4.36 ,  4.69 ,  4.77 ,  3.94 ,  3.84 ,  0.64 ,  6.75 ,  10.01 ,  9.67 
AF          ,,,  0.01 ,  (0.01),  0.01 ,  0.02 ,  0.02 ,  0.02 ,  0.02 ,  0.04 ,  0.03 ,  0.05 ,  0.02 ,  0.00 
AFC         ,  1.15 ,  2.19 ,  1.58 ,  0.48 ,  (1.73),  (0.60),  (0.95),  0.07 ,  0.44 ,  1.22 ,  (0.50),  0.19 ,  0.31 ,  (1.15)
AGE         ,,,,,,,,  0.00 ,  0.12 ,  0.17 ,  (0.02),  0.06 ,  (0.02),  0.07 
AH          ,  0.09 ,  1.08 ,  2.65 ,  2.47 ,  1.32 ,  1.22 ,  0.84 ,  (0.38),  1.31 ,  (1.43),  3.37 ,  1.89 ,  1.14 ,  0.97 
AHC         ,  0.45 ,  0.50 ,  0.53 ,  0.69 ,  0.64 ,  0.23 ,  0.44 ,  0.30 ,  0.56 ,  0.68 ,  1.15 ,  1.27 ,  1.21 ,  1.07 
AI          ,,,  0.02 ,  0.08 ,  0.01 ,  0.08 ,  0.06 ,  0.04 ,  0.09 ,  0.02 ,  0.07 ,  0.09 ,  0.10 ,  0.07 
AIT         ,,  0.44 ,  0.28 ,  0.26 ,  0.75 ,  0.58 ,  1.31 ,  1.92 ,  2.19 ,  2.43 ,  1.99 ,  2.75 ,  3.19 ,  2.58 
AJ          ,  1.18 ,  0.85 ,  0.80 ,  0.48 ,  0.28 ,  0.36 ,  0.45 ,  0.80 ,  2.74 ,  2.20 ,  0.48 ,  (0.25),  (0.62),  0.01 
AKR         ,,,,,  0.14 ,  0.05 ,  (0.05),  (0.25),  (0.36),  (0.11),  0.11 ,  0.38 ,  0.08 ,  0.07 
ALUCON      ,  5.47 ,  4.65 ,  5.59 ,  5.33 ,  5.62 ,  6.90 ,  11.89 ,  13.20 ,  12.58 ,  10.51 ,  13.90 ,  15.72 ,  17.38 ,  17.94 
AMANAH      ,  0.01 ,  0.12 ,  0.14 ,  0.03 ,  0.02 ,  0.02 ,  (0.16),  0.00 ,  0.00 ,  0.01 ,  0.02 ,  (0.06),  (0.24),  (0.14)
AMATA       ,  0.84 ,  0.76 ,  0.87 ,  1.01 ,  0.73 ,  0.99 ,  1.12 ,  0.30 ,  0.90 ,  0.87 ,  1.35 ,  1.42 ,  2.08 ,  1.14 
AMC         ,,,  0.14 ,  0.20 ,  0.43 ,  0.08 ,  0.26 ,  0.21 ,  0.18 ,  0.24 ,  0.34 ,  0.34 ,  (0.04),  (0.50)
AOT         ,,,  3.34 ,  5.19 ,  7.26 ,  0.77 ,  5.12 ,  0.50 ,  0.99 ,  1.77 ,  4.55 ,  11.44 ,  8.55 ,  13.11 
AP          ,  0.26 ,  0.40 ,  0.37 ,  0.26 ,  0.44 ,  0.29 ,  0.53 ,  0.61 ,  0.72 ,  0.50 ,  0.74 ,  0.64 ,  0.83 ,  0.83 
APCO        ,,,,,,,,,,  0.02 ,  0.02 ,  0.03 ,  0.04 ,  0.04 
APCS        ,,,,,,,,,,  0.15 ,  0.17 ,  (0.03),  (0.12),  (0.01)
APURE       ,  0.00 ,  (0.18),  (0.01),  0.03 ,  0.02 ,  (0.18),  (0.13),  0.05 ,  (0.09),  0.02 ,  0.09 ,  0.02 ,  0.11 ,  0.10 
APX         ,,,,,  19.55 ,  (0.01),  (0.07),  (0.07),  (0.15),  (0.08),  (0.05),  (0.05),  0.01 ,  0.03 
AQUA        ,,,  0.12 ,  (0.11),  (0.23),  (0.10),  (0.03),  (0.03),  (0.03),  0.00 ,  0.02 ,  0.16 ,  0.06 ,  0.06 
ARIP        ,,,,,,,,,  0.09 ,  0.05 ,  0.07 ,  0.07 ,  (0.03),  (0.02)
AS          ,,,,,,,  0.59 ,  0.58 ,  0.84 ,  0.94 ,  0.99 ,  0.17 ,  (1.27),  (1.55)
ASIA        ,  (0.92),  0.85 ,  (1.56),  50.02 ,  4.97 ,  (1.40),  32.74 ,  5.39 ,  0.57 ,  1.80 ,  5.52 ,  15.60 ,  6.25 ,  11.28 
ASIAN       ,  0.45 ,  0.96 ,  0.88 ,  0.73 ,  0.06 ,  (1.25),  0.85 ,  0.31 ,  0.51 ,  0.64 ,  0.08 ,  (0.55),  (0.36),  0.50 
ASIMAR      ,  0.57 ,  0.11 ,  0.06 ,  0.15 ,  (0.02),  0.07 ,  0.23 ,  (0.28),  0.03 ,  0.21 ,  0.23 ,  0.25 ,  0.16 ,  0.35 
ASK         ,,,,  0.54 ,  0.47 ,  0.66 ,  0.71 ,  0.77 ,  1.15 ,  1.32 ,  1.39 ,  1.82 ,  1.91 ,  1.93 
ASP         ,  0.21 ,  0.60 ,  (1.68),  0.25 ,  0.18 ,  0.22 ,  0.10 ,  0.22 ,  0.36 ,  0.24 ,  0.29 ,  0.51 ,  0.39 ,  0.26 
AYUD        ,  1.14 ,  1.53 ,  1.13 ,  0.86 ,  1.44 ,  1.63 ,  1.43 ,  1.10 ,  1.29 ,  (1.82),  0.38 ,  2.36 ,  7.45 ,  2.71 
BAFS        ,  0.50 ,  0.49 ,  0.57 ,  0.65 ,  0.72 ,  0.85 ,  0.69 ,  0.73 ,  0.82 ,  0.83 ,  1.25 ,  1.65 ,  1.19 ,  1.50 
BANPU       ,  0.51 ,  0.57 ,  1.01 ,  1.55 ,  1.00 ,  1.85 ,  2.56 ,  3.95 ,  6.87 ,  5.58 ,  2.58 ,  0.88 ,  0.78 ,  (0.45)
BAT-3K      ,  7.76 ,  6.24 ,  9.85 ,  9.67 ,  7.52 ,  14.82 ,  (23.59),  15.14 ,  10.20 ,  11.50 ,  (13.47),  5.97 ,  10.26 ,  11.00 
BAY         ,  1.15 ,  1.07 ,  1.63 ,  2.10 ,  0.35 ,  (0.69),  0.81 ,  1.10 ,  1.45 ,  1.53 ,  2.41 ,  1.95 ,  2.33 ,  2.53 
BBL         ,  4.28 ,  5.95 ,  9.23 ,  10.64 ,  9.35 ,  10.07 ,  10.60 ,  10.88 ,  12.88 ,  14.32 ,  17.30 ,  18.81 ,  19.03 ,  17.91 
BCP         ,  1.02 ,  (2.49),  3.99 ,  4.26 ,  0.17 ,  1.58 ,  (0.67),  6.43 ,  2.25 ,  4.07 ,  3.10 ,  3.38 ,  0.52 ,  3.01 
BEC         ,  0.08 ,  0.10 ,  0.80 ,  0.44 ,  0.82 ,  1.13 ,  1.44 ,  1.32 ,  1.65 ,  1.77 ,  2.39 ,  2.79 ,  2.21 ,  1.49 
BFIT        ,  0.81 ,  0.81 ,  0.87 ,  1.33 ,  1.48 ,  0.62 ,  0.38 ,  0.13 ,  0.35 ,,  0.48 ,  0.51 ,  0.48 ,  0.49 
BGT         ,,,,,,  0.02 ,  0.03 ,  0.13 ,  0.17 ,  0.20 ,  0.11 ,  0.06 ,  (0.01),  0.02 
BH          ,  0.51 ,  1.01 ,  1.28 ,  1.45 ,  1.51 ,  2.20 ,  1.64 ,  1.71 ,  1.73 ,  2.18 ,  3.66 ,  3.46 ,  3.75 ,  4.72 
BIGC        ,  1.61 ,  1.76 ,  2.00 ,  2.35 ,  2.65 ,  3.12 ,  3.56 ,  3.58 ,  3.60 ,  6.54 ,  7.36 ,  8.46 ,  8.77 ,  8.36 
BJC         ,  0.43 ,  0.75 ,  0.75 ,  0.60 ,  0.55 ,  0.79 ,  0.68 ,  0.79 ,  1.20 ,  1.37 ,  1.52 ,  1.53 ,  1.05 ,  1.75 
BKI         ,  4.35 ,  5.93 ,  5.74 ,  5.59 ,  5.57 ,  6.65 ,  8.28 ,  8.82 ,  11.57 ,  0.49 ,  5.88 ,  16.42 ,  21.66 ,  22.00 
BLA         ,,,,,,,,  0.71 ,  1.66 ,  2.03 ,  1.94 ,  2.58 ,  1.57 ,  2.41 
BLAND       ,  (0.32),  (0.15),  0.20 ,  (0.16),  0.19 ,  0.02 ,  0.34 ,  0.10 ,  0.03 ,  0.04 ,  0.03 ,  0.13 ,  0.10 ,  0.06 
BLISS       ,,,  0.00 ,  0.03 ,  (0.12),  0.07 ,  (0.19),  (0.03),  0.01 ,  (0.01),  (0.01),  0.00 ,  0.00 ,  0.00 
BOL         ,,,  0.00 ,  0.00 ,  0.00 ,  0.08 ,  0.10 ,  0.09 ,  0.09 ,  0.11 ,  0.11 ,  0.11 ,  0.10 ,  0.08 
BRC         ,  (18.75),  (18.89),  (3.26),  (0.32),  0.34 ,  0.34 ,  1.13 ,  0.57 ,  (6.36),  (7.27),  1.58 ,  1.27 ,  1.29 ,  1.46 
BROCK       ,,,,,,  0.08 ,  0.08 ,  0.02 ,  0.01 ,  0.01 ,  0.03 ,  (0.02),  0.01 ,  0.01 
BROOK       ,  (0.12),  0.00 ,  (0.01),  (0.01),  0.03 ,  0.01 ,  (0.01),  0.02 ,  0.05 ,  (0.01),  0.09 ,  0.07 ,  0.06 ,  0.17 
BSBM        ,,,,  (0.15),  0.23 ,  0.14 ,  0.11 ,  0.10 ,  0.14 ,  0.09 ,  (0.01),  0.09 ,  0.01 ,  (0.08)
BSM         ,,,,,,,  0.00 ,  0.01 ,  (0.02),  (0.01),  0.01 ,  0.03 ,  0.02 ,  0.01 
BTC         ,,  0.06 ,  0.07 ,  0.04 ,  (0.01),  (0.06),  (0.20),  (0.13),  (0.12),  (0.10),,  (0.10),  (0.02),  (0.01)
BTNC        ,  0.48 ,  0.85 ,  1.16 ,  1.18 ,  (1.68),  0.66 ,  0.26 ,  0.58 ,  1.51 ,  1.14 ,  0.19 ,  (0.00),  (0.43),  (0.65)
BTS         ,,,,  (4.16),  (4.96),  28.93 ,  1.10 ,  0.02 ,  0.17 ,  0.03 ,  0.23 ,  0.22 ,  1.06 ,  0.25 
BUI         ,  0.73 ,  0.33 ,  1.16 ,  1.05 ,  0.55 ,  0.76 ,  0.76 ,  0.83 ,  0.93 ,  0.20 ,  (2.14),  1.03 ,  2.02 ,  1.48 
BWG         ,,,,,,  0.07 ,  0.05 ,  (0.03),  0.03 ,  0.03 ,  0.03 ,  0.06 ,  0.06 ,  0.09 
CCET        ,  0.49 ,  0.45 ,  0.51 ,  0.45 ,  0.57 ,  0.68 ,  0.50 ,  0.30 ,  0.38 ,  0.12 ,  0.27 ,  0.10 ,  0.24 ,  0.34 
CCP         ,,  0.02 ,  0.08 ,  (0.01),  (0.13),  (0.03),  (0.07),  (0.09),  (0.01),  0.02 ,  0.12 ,  0.19 ,  0.06 ,  0.02 
CEN         ,  (0.13),  0.03 ,  0.76 ,  0.18 ,  (0.85),  0.35 ,  0.43 ,  0.24 ,  0.25 ,  0.01 ,  0.05 ,  (0.00),  0.20 ,  (0.25)
CENTEL      ,  0.18 ,  0.23 ,  0.44 ,  0.43 ,  0.31 ,  0.29 ,  0.24 ,  0.04 ,  (0.04),  0.41 ,  1.17 ,  0.98 ,  0.88 ,  1.24 
CFRESH      ,  0.09 ,  (0.09),  0.26 ,  0.27 ,  0.16 ,  0.03 ,  0.12 ,  0.43 ,  0.32 ,  0.50 ,  1.18 ,  (0.73),  0.88 ,  0.99 
CGD         ,  (0.00),  (0.00),  (0.00),  (0.00),  0.15 ,,,,,,,,  0.01 ,  (0.06)
CHARAN      ,  1.68 ,  1.56 ,  1.68 ,  2.41 ,  3.97 ,  3.57 ,  2.72 ,  1.95 ,  1.35 ,  (3.17),  2.51 ,  0.15 ,  1.80 ,  3.00 
CHOTI       ,  0.68 ,  (1.67),  13.14 ,  7.40 ,  6.01 ,  13.64 ,  15.69 ,  21.98 ,  26.31 ,  37.66 ,  28.44 ,  2.87 ,  0.07 ,  4.19 
CHOW        ,,,,,,,,,,  0.23 ,  0.03 ,  0.13 ,  0.06 ,  (0.14)
CHUO        ,  0.52 ,  0.46 ,  0.58 ,  2.28 ,  1.07 ,  1.03 ,  0.62 ,  0.10 ,  0.80 ,  (0.49),  (0.99),  0.85 ,  0.44 ,  (2.40)
CI          ,  0.06 ,  0.09 ,  0.05 ,  0.08 ,  0.07 ,  0.03 ,  0.12 ,  0.07 ,  (0.02),  (0.02),  0.15 ,  0.38 ,  (0.03),  0.17 
CIG         ,,,,  0.11 ,  0.05 ,,  (0.03),  (0.09),  (0.19),  (0.24),  (0.14),  (0.01),  0.11 ,  (0.01)
CIMBT       ,  0.36 ,  (0.74),  0.10 ,  0.11 ,  (0.83),  (1.30),  (0.12),  0.00 ,  0.04 ,  0.06 ,  0.07 ,  0.07 ,  0.04 ,  0.04 
CITY        ,,,,,  0.42 ,  0.39 ,  0.34 ,  0.27 ,  0.22 ,  0.27 ,  0.46 ,  0.42 ,  0.50 ,  0.46 
CK          ,  (0.17),  0.27 ,  0.19 ,  0.61 ,  (0.95),  0.01 ,  0.37 ,  0.06 ,  (0.20),  0.55 ,  0.34 ,  4.53 ,  1.36 ,  1.29 
CM          ,  0.24 ,  0.26 ,  0.24 ,  0.23 ,  0.28 ,  0.26 ,  0.37 ,  0.55 ,  0.42 ,  0.15 ,  0.46 ,  0.36 ,  0.16 ,  0.31 
CMO         ,,,  0.31 ,  0.16 ,  0.38 ,  0.00 ,  (0.09),  (0.05),  0.20 ,  (0.21),  0.45 ,  0.17 ,  (0.17),  0.14 
CMR         ,  0.45 ,  0.67 ,  0.46 ,  0.49 ,  0.65 ,  0.90 ,  (0.21),  4.15 ,  3.40 ,  3.36 ,  5.18 ,  9.12 ,  9.62 ,  12.45 
CNS         ,  0.06 ,  0.08 ,  0.24 ,  0.11 ,  0.07 ,  0.07 ,  0.08 ,  0.04 ,  0.08 ,  0.02 ,  0.12 ,  0.18 ,  0.20 ,  0.19 
CNT         ,  0.13 ,  1.24 ,  0.32 ,  0.14 ,  0.07 ,  0.12 ,  0.00 ,  0.16 ,  0.36 ,  0.16 ,  0.46 ,  0.44 ,  (0.35),  0.02 
COLOR       ,,,,,,,,,,  0.10 ,  (0.00),  (0.13),  (0.03),  0.06 
CPALL       ,,  0.01 ,  0.02 ,  0.17 ,  0.15 ,  0.16 ,  0.37 ,  0.56 ,  0.74 ,  0.89 ,  1.23 ,  1.17 ,  1.13 ,  1.52 
CPF         ,  0.54 ,  0.39 ,  0.22 ,  0.90 ,  0.33 ,  0.17 ,  0.42 ,  1.36 ,  1.80 ,  2.11 ,  2.43 ,  0.91 ,  1.36 ,  1.43 
CPH         ,  1.67 ,  3.81 ,  1.56 ,  1.80 ,  0.29 ,  (0.80),  (0.56),  0.23 ,  (1.61),  (0.56),  (1.12),  (1.60),  (0.34),  1.26 
CPI         ,  0.35 ,  0.35 ,  0.36 ,  (0.12),  0.00 ,  0.05 ,  0.53 ,  0.21 ,,  0.29 ,  0.06 ,  0.02 ,  0.09 ,  (0.03)
