Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,5.2%,9.4%,15.9%,22.9%,16.7%,27.3%,27.2%
A           ,,,0.4%,35.1%,34.2%,-9.8%,6.7%,0.7%,4.1%,27.1%,34.2%,78.4%,71.9%,38.0%
ACAP        ,,,,3.0%,2.1%,56.7%,92.8%,50.6%,36.4%,3.5%,-7.0%,-1.1%,-0.8%,-4.6%
ADAM        ,,0.2%,0.2%,-0.6%,-0.3%,-7.9%,-6.8%,-6.2%,-1.8%,-10.9%,-1.0%,-1.7%,-25.8%,-18.4%
ADVANC      ,13.8%,9.0%,6.4%,5.3%,6.1%,6.7%,6.1%,7.4%,5.5%,4.3%,2.3%,2.1%,3.2%,3.8%
AEONTS      ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AF          ,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AFC         ,38.5%,12.6%,7.5%,12.9%,-10.4%,-29.6%,-2.2%,8.1%,0.0%,0.0%,-0.3%,0.3%,0.0%,-0.1%
AGE         ,,,,,,,,58.4%,15.3%,14.8%,156.8%,40.2%,1153.7%,32.3%
AH          ,10.7%,12.6%,6.5%,5.6%,6.0%,31.2%,32.6%,304.4%,25.0%,-403.3%,23.1%,27.8%,33.7%,31.8%
AHC         ,0.2%,0.0%,0.0%,0.0%,12.7%,27.9%,15.3%,16.3%,6.6%,2.2%,0.0%,0.0%,0.0%,0.0%
AI          ,,,1.0%,0.0%,0.0%,4.0%,18.1%,18.3%,12.9%,49.8%,25.2%,12.2%,6.8%,8.3%
AIT         ,,0.3%,7.0%,8.9%,6.7%,4.8%,3.5%,3.0%,1.1%,2.4%,3.4%,4.8%,1.4%,0.8%
AJ          ,10.0%,11.1%,13.3%,28.2%,53.8%,44.8%,43.0%,26.2%,6.8%,3.5%,14.0%,-98.6%,-44.8%,96.1%
AKR         ,,,,,11.5%,25.4%,97.2%,-258.6%,-94.6%,142.9%,30.8%,13.8%,22.4%,22.0%
ALUCON      ,4.3%,5.8%,5.4%,7.7%,10.2%,6.4%,2.9%,2.6%,1.9%,2.6%,3.9%,3.3%,2.8%,2.6%
AMANAH      ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AMATA       ,5.3%,4.7%,6.8%,6.1%,15.4%,14.3%,13.8%,52.6%,16.5%,18.9%,14.9%,13.3%,11.0%,11.8%
AMC         ,,,10.0%,19.0%,17.7%,43.8%,22.2%,19.9%,26.6%,28.6%,23.7%,14.5%,181.8%,-19.2%
AOT         ,,,0.0%,0.0%,0.3%,46.3%,22.7%,79.6%,52.3%,37.8%,17.1%,8.5%,10.7%,6.4%
AP          ,5.2%,3.1%,4.4%,5.3%,5.6%,8.1%,4.0%,5.9%,3.1%,7.4%,6.9%,10.3%,9.6%,7.7%
APCO        ,,,,,,,,,,0.3%,0.2%,0.1%,0.0%,0.0%
