Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  8.06 ,  6.94 ,  5.45 ,  4.88 ,  5.55 ,  4.96 ,  5.25 
A           ,,,  30.90 ,  28.03 ,  28.56 ,  27.76 ,  32.83 ,  29.63 ,  34.35 ,  37.48 ,  36.85 ,  37.64 ,  32.58 ,  25.61 
ACAP        ,,,,  40.32 ,  29.14 ,  74.79 ,  84.54 ,  (20.61),  (31.15),  49.33 ,  34.70 ,  (2.30),  9.52 ,  29.38 
ADAM        ,,  36.34 ,  29.05 ,  9.80 ,  (17.61),  8.40 ,  33.45 ,  8.29 ,  (26.79),  11.18 ,  (4.14),  21.20 ,  4.35 ,  9.10 
ADVANC      ,  44.12 ,  64.59 ,  65.75 ,  62.19 ,  38.80 ,  34.76 ,  34.98 ,  35.27 ,  38.26 ,  39.72 ,  40.69 ,  43.17 ,  44.05 ,  45.38 
AEONTS      ,  78.86 ,  80.70 ,  87.79 ,  87.97 ,  86.37 ,  82.61 ,  69.84 ,  69.20 ,  80.34 ,  81.92 ,  82.57 ,  83.80 ,  85.24 ,  84.53 
AF          ,,,  69.89 ,  60.85 ,  50.62 ,  57.11 ,  63.99 ,  81.94 ,,  68.03 ,  65.24 ,  61.70 ,  64.13 ,  67.28 
AFC         ,  9.44 ,  9.82 ,  7.27 ,  5.11 ,  0.12 ,  0.76 ,  (0.15),  3.63 ,  4.61 ,  5.77 ,  (0.28),  2.82 ,  2.41 ,  (2.57)
AGE         ,,,,,,,,  12.55 ,  13.69 ,  12.42 ,  7.05 ,  9.43 ,  4.80 ,  11.47 
AH          ,  10.17 ,  10.87 ,  12.79 ,  10.63 ,  6.76 ,  7.38 ,  7.32 ,  5.03 ,  7.31 ,  7.38 ,  6.59 ,  6.88 ,  4.17 ,  4.91 
AHC         ,  25.57 ,  25.54 ,  24.48 ,  27.92 ,  25.10 ,  15.64 ,  20.12 ,  16.44 ,  23.26 ,  23.96 ,  26.70 ,  23.22 ,  20.18 ,  19.22 
AI          ,,,  51.69 ,  35.45 ,  17.01 ,  21.57 ,  12.19 ,  11.90 ,  17.38 ,  7.32 ,  10.72 ,  14.04 ,  10.73 ,  8.34 
AIT         ,,  19.62 ,  27.38 ,  26.14 ,  22.69 ,  25.94 ,  21.46 ,  23.22 ,  21.03 ,  23.93 ,  23.03 ,  23.91 ,  22.61 ,  23.67 
AJ          ,  28.79 ,  20.39 ,  17.45 ,  12.33 ,  10.60 ,  8.36 ,  7.29 ,  11.87 ,  18.91 ,  18.18 ,  8.07 ,  5.67 ,  1.91 ,  8.04 
