Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  0.02 ,  0.69 ,  0.65 ,  0.92 ,  0.68 ,  0.66 ,  0.46 
A           ,,,  1.42 ,  1.77 ,  1.72 ,  2.16 ,  2.33 ,  1.33 ,  1.10 ,  1.22 ,  1.62 ,  2.00 ,  2.90 ,  2.96 
ACAP        ,,,,  0.05 ,  0.05 ,  8.90 ,  7.56 ,  6.91 ,  5.03 ,  0.01 ,  0.01 ,  0.02 ,  0.00 ,  0.00 
ADAM        ,,  0.00 ,  0.03 ,  0.03 ,  1.19 ,  0.10 ,  0.21 ,  0.10 ,  0.15 ,  0.13 ,  0.25 ,  0.61 ,  70.94 ,  (6.98)
ADVANC      ,  1.15 ,  0.81 ,  0.54 ,  0.36 ,  0.43 ,  0.40 ,  0.50 ,  0.52 ,  0.88 ,  0.56 ,  0.47 ,  0.54 ,  0.87 ,  1.35 
AEONTS      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
AF          ,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
AFC         ,  0.32 ,  0.11 ,  0.08 ,  0.26 ,  0.16 ,  0.03 ,  0.01 ,  -   ,  -   ,  0.00 ,  0.00 ,  0.00 ,  0.06 ,  0.00 
AGE         ,,,,,,,,  2.74 ,  3.00 ,  1.54 ,  1.65 ,  1.72 ,  1.35 ,  0.93 
AH          ,  0.33 ,  1.13 ,  0.61 ,  0.21 ,  0.66 ,  0.66 ,  0.67 ,  0.70 ,  0.96 ,  1.27 ,  1.13 ,  0.88 ,  0.69 ,  0.57 
AHC         ,  -   ,  -   ,  -   ,  0.56 ,  0.49 ,  0.41 ,  0.32 ,  0.24 ,  0.11 ,  -   ,  -   ,  -   ,  -   ,  -   
AI          ,,,  0.00 ,  0.00 ,  -   ,  0.17 ,  0.56 ,  0.75 ,  0.62 ,  1.20 ,  1.29 ,  0.10 ,  0.23 ,  0.15 
AIT         ,,  0.56 ,  0.54 ,  0.67 ,  0.42 ,  0.07 ,  0.46 ,  -   ,  -   ,  0.05 ,  0.30 ,  0.06 ,  0.08 ,  0.06 
AJ          ,  1.05 ,  1.53 ,  1.91 ,  1.65 ,  1.50 ,  1.51 ,  2.06 ,  1.68 ,  0.47 ,  0.35 ,  0.17 ,  0.79 ,  0.96 ,  1.09 
AKR         ,,,,,  0.24 ,  0.81 ,  1.18 ,  1.50 ,  3.42 ,  4.92 ,  3.37 ,  0.32 ,  0.30 ,  0.28 
ALUCON      ,  0.55 ,  0.62 ,  0.77 ,  0.69 ,  0.45 ,  0.18 ,  0.27 ,  0.16 ,  0.11 ,  0.08 ,  0.05 ,  0.04 ,  0.03 ,  0.02 
AMANAH      ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
AMATA       ,  0.34 ,  0.48 ,  0.69 ,  0.67 ,  1.04 ,  0.83 ,  1.09 ,  1.15 ,  0.86 ,  1.20 ,  0.80 ,  0.92 ,  0.71 ,  0.60 
AMC         ,,,  1.00 ,  0.76 ,  1.00 ,  0.85 ,  0.40 ,  0.70 ,  1.19 ,  1.53 ,  0.84 ,  0.70 ,  1.12 ,  0.76 
AOT         ,,,  0.67 ,  0.86 ,  0.81 ,  0.78 ,  0.79 ,  0.91 ,  0.84 ,  0.89 ,  0.73 ,  0.46 ,  0.36 ,  0.30 
AP          ,  0.86 ,  0.74 ,  0.94 ,  1.33 ,  0.80 ,  1.00 ,  1.18 ,  0.97 ,  1.12 ,  1.33 ,  0.98 ,  1.10 ,  0.93 ,  0.83 
APCO        ,,,,,,,,,,  0.01 ,  0.00 ,  0.00 ,  -   ,  -   
APCS        ,,,,,,,,,,  0.16 ,  0.49 ,  0.44 ,  0.35 ,  0.16 
APURE       ,  0.79 ,  1.75 ,  1.40 ,  1.35 ,  1.64 ,  2.34 ,  1.64 ,  0.31 ,  0.39 ,  0.46 ,  0.75 ,  0.17 ,  0.26 ,  -   
APX         ,,,,,  0.08 ,  0.04 ,  0.21 ,  0.25 ,  0.52 ,  1.89 ,  0.75 ,  2.21 ,  0.75 ,  1.09 
AQUA        ,,,  0.11 ,  0.25 ,  0.04 ,  0.01 ,  0.03 ,  0.02 ,  0.07 ,  0.09 ,  0.15 ,  0.12 ,  0.07 ,  0.57 
ARIP        ,,,,,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
AS          ,,,,,,,  0.05 ,  0.01 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.08 ,  0.10 
ASIA        ,  (2.28),  (2.44),  (2.19),  2.49 ,  1.96 ,  1.30 ,  0.66 ,  0.67 ,  0.62 ,  0.33 ,  0.32 ,  0.34 ,  0.48 ,  0.38 
ASIAN       ,  0.72 ,  0.60 ,  0.74 ,  0.93 ,  1.84 ,  2.57 ,  1.96 ,  1.61 ,  1.42 ,  1.62 ,  1.91 ,  2.04 ,  1.90 ,  1.70 
ASIMAR      ,  1.00 ,  1.20 ,  1.15 ,  1.06 ,  0.92 ,  0.84 ,  1.53 ,  1.43 ,  0.69 ,  0.39 ,  0.02 ,  0.18 ,  0.19 ,  0.00 
ASK         ,,,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
ASP         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
AYUD        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BAFS        ,  0.11 ,  0.87 ,  1.08 ,  1.65 ,  1.78 ,  1.52 ,  1.29 ,  1.00 ,  0.74 ,  0.75 ,  0.56 ,  0.41 ,  0.37 ,  0.28 
BANPU       ,  1.38 ,  0.42 ,  0.48 ,  0.76 ,  0.89 ,  0.54 ,  0.72 ,  0.62 ,  1.49 ,  1.25 ,  1.26 ,  1.44 ,  1.57 ,  1.91 
BAT-3K      ,  0.15 ,  0.28 ,  0.38 ,  0.13 ,  0.43 ,  1.04 ,  1.28 ,  0.72 ,  0.89 ,  0.96 ,  1.13 ,  1.21 ,  0.87 ,  0.50 
BAY         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BBL         ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
BCP         ,  3.78 ,  5.88 ,  1.53 ,  1.05 ,  0.68 ,  0.52 ,  0.79 ,  0.63 ,  0.74 ,  0.63 ,  0.60 ,  0.60 ,  0.94 ,  0.95 
BEC         ,  0.01 ,  0.01 ,  0.01 ,  0.00 ,  -   ,  -   ,  0.00 ,  -   ,  0.00 ,  -   ,  0.00 ,  0.02 ,  0.60 ,  0.49 
BFIT        ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   
BGT         ,,,,,,  0.39 ,  0.23 ,  0.17 ,  0.34 ,  0.40 ,  0.47 ,  0.37 ,  0.28 ,  0.55 
BH          ,  4.20 ,  1.99 ,  1.02 ,  0.68 ,  0.53 ,  0.41 ,  0.39 ,  0.30 ,  0.25 ,  0.74 ,  0.59 ,  0.54 ,  0.47 ,  0.41 
