Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,3.6%,2.5%,1.8%,1.3%,1.7%,1.0%,0.9%
A           ,,,10.0%,0.9%,0.9%,-9.4%,3.8%,15.0%,12.7%,4.7%,5.1%,0.8%,1.6%,4.0%
ACAP        ,,,,18.2%,12.3%,19.2%,-8.0%,10.9%,10.1%,41.9%,-26.8%,-75.7%,-25.7%,-16.3%
ADAM        ,,12.8%,12.0%,-19.4%,-82.3%,-17.2%,-26.5%,-14.7%,-29.7%,-2.3%,-22.9%,-15.6%,-92.6%,-824.5%
ADVANC      ,14.0%,20.5%,20.9%,20.3%,17.6%,14.9%,14.5%,16.5%,18.4%,17.4%,24.4%,25.3%,24.0%,25.1%
AEONTS      ,13.5%,13.1%,15.4%,16.4%,15.2%,14.1%,13.7%,12.7%,11.2%,10.2%,1.7%,14.7%,17.2%,14.6%
AF          ,,,30.3%,-25.3%,21.1%,25.9%,26.9%,32.0%,33.5%,32.2%,25.2%,30.2%,13.4%,0.1%
AFC         ,3.9%,7.4%,5.4%,1.5%,-5.3%,-1.5%,-2.6%,0.2%,1.5%,3.4%,-1.6%,0.8%,1.2%,-5.9%
AGE         ,,,,,,,,0.5%,4.5%,4.9%,-0.6%,1.9%,-0.5%,2.6%
AH          ,7.6%,7.7%,10.8%,8.6%,4.8%,3.6%,2.5%,-1.5%,3.0%,-3.6%,5.4%,3.5%,2.4%,2.1%
AHC         ,15.2%,14.9%,14.8%,16.6%,12.9%,4.5%,7.3%,5.3%,8.6%,9.3%,13.4%,13.7%,11.9%,10.5%
AI          ,,,38.3%,22.1%,3.6%,13.4%,6.8%,4.5%,9.7%,1.4%,4.4%,5.1%,5.3%,4.2%
AIT         ,,6.8%,7.4%,5.0%,8.7%,5.7%,6.4%,8.1%,8.5%,9.1%,8.8%,9.4%,9.9%,10.1%
AJ          ,22.2%,15.1%,10.9%,6.3%,3.1%,3.1%,3.2%,6.3%,15.8%,13.4%,3.6%,-1.8%,-3.8%,0.1%
AKR         ,,,,,8.2%,2.8%,-2.0%,-16.8%,-22.2%,-5.6%,4.8%,20.4%,5.0%,4.5%
ALUCON      ,14.0%,10.2%,9.8%,8.8%,8.2%,8.9%,13.7%,15.8%,13.0%,9.6%,12.2%,13.1%,12.9%,12.9%
AMANAH      ,28.7%,22.4%,21.6%,10.4%,6.6%,5.0%,-41.2%,0.4%,0.8%,4.6%,4.5%,-17.6%,-81.4%,-59.5%
AMATA       ,39.2%,27.3%,30.8%,24.3%,22.8%,24.0%,29.4%,13.6%,25.1%,23.0%,23.4%,19.9%,28.3%,19.0%
AMC         ,,,4.1%,1.7%,3.6%,0.8%,2.3%,2.6%,1.7%,1.7%,2.2%,3.0%,-0.4%,-5.7%
AOT         ,,,33.0%,43.8%,47.2%,4.7%,23.5%,3.0%,5.6%,8.6%,20.0%,36.4%,30.7%,40.9%
AP          ,25.1%,24.7%,18.7%,14.1%,18.9%,11.4%,16.6%,14.9%,15.9%,11.3%,13.3%,10.0%,11.3%,11.7%
APCO        ,,,,,,,,,,17.0%,18.9%,22.2%,27.4%,24.2%
APCS        ,,,,,,,,,,10.1%,9.5%,-1.7%,-8.8%,-0.9%
APURE       ,0.0%,-5.2%,-0.2%,0.6%,0.5%,-3.4%,-2.9%,2.7%,-5.9%,1.2%,4.9%,1.6%,6.4%,7.7%
APX         ,,,,,316.2%,-0.1%,-5864.0%,-87660.9%,-14478.0%,-10040.0%,-2582.7%,-1699.7%,3.6%,8.4%
AQUA        ,,,11.2%,-12.2%,-68.4%,-46.3%,-10.5%,-8.1%,-8.0%,1.4%,7.2%,45.3%,36.8%,38.1%
ARIP        ,,,,,,,,,14.1%,9.3%,12.4%,6.2%,-5.0%,-3.0%
AS          ,,,,,,,11.5%,11.7%,17.2%,17.6%,15.1%,3.0%,-30.9%,-51.7%
ASIA        ,-4.0%,3.6%,-5.6%,152.4%,14.0%,-3.9%,48.8%,15.4%,1.9%,5.6%,13.9%,27.9%,14.3%,21.7%
ASIAN       ,2.3%,3.9%,4.1%,3.1%,0.3%,-5.8%,3.6%,1.1%,1.8%,2.2%,0.3%,-2.1%,-1.6%,2.3%
ASIMAR      ,22.4%,4.6%,2.5%,5.2%,-1.1%,2.6%,4.9%,-19.9%,1.6%,9.5%,9.3%,9.1%,6.7%,11.8%
ASK         ,,,,18.7%,13.2%,15.5%,15.6%,16.2%,21.3%,20.0%,23.8%,26.0%,25.0%,25.0%
ASP         ,29.8%,39.1%,-136.2%,27.5%,22.1%,25.6%,15.4%,27.3%,32.2%,25.1%,29.0%,34.3%,29.9%,25.7%
AYUD        ,32.0%,32.6%,26.7%,21.6%,26.9%,30.8%,29.2%,21.9%,20.3%,-22.6%,4.7%,23.7%,49.8%,27.6%
BAFS        ,33.6%,33.6%,32.8%,34.2%,30.1%,24.1%,20.6%,22.8%,23.5%,21.9%,29.8%,33.6%,25.1%,28.5%
BANPU       ,11.2%,13.4%,17.9%,19.3%,10.2%,16.9%,16.2%,20.6%,27.7%,15.7%,7.4%,2.9%,2.5%,-1.7%
BAT-3K      ,8.6%,7.0%,8.3%,6.5%,4.0%,5.9%,-12.4%,7.6%,3.8%,3.9%,-4.7%,2.1%,3.9%,4.3%
BAY         ,8.8%,11.3%,18.0%,18.3%,3.7%,-9.2%,9.9%,12.5%,12.9%,12.7%,17.4%,12.6%,14.8%,17.5%
BBL         ,9.6%,18.4%,27.5%,28.0%,18.8%,19.5%,20.1%,23.8%,27.1%,24.8%,26.2%,26.7%,26.1%,23.9%
BCP         ,1.0%,-2.1%,3.3%,3.4%,0.2%,1.8%,-0.6%,6.5%,2.0%,3.5%,2.5%,2.5%,0.4%,2.7%
BEC         ,30.2%,31.6%,24.7%,13.7%,23.6%,28.3%,32.1%,29.1%,27.8%,27.2%,31.6%,33.5%,27.0%,18.6%
BFIT        ,34.4%,36.8%,38.5%,76.6%,61.3%,22.1%,12.4%,6.1%,18.9%,,24.4%,26.6%,27.0%,30.7%
BGT         ,,,,,,8.2%,6.9%,7.0%,7.6%,7.7%,4.1%,2.3%,-0.4%,
BH          ,6.2%,14.4%,16.1%,15.5%,13.9%,17.1%,13.4%,13.3%,12.5%,13.9%,19.0%,17.2%,17.2%,19.1%
BIGC        ,3.1%,3.0%,3.0%,3.2%,3.2%,3.5%,3.6%,3.6%,3.4%,4.6%,4.9%,5.3%,5.3%,5.2%
BJC         ,5.6%,8.6%,7.9%,6.3%,5.6%,6.5%,4.8%,5.5%,7.2%,6.9%,6.3%,5.7%,3.8%,6.3%
BKI         ,14.9%,17.9%,15.3%,12.6%,11.5%,12.4%,15.3%,15.3%,16.5%,0.6%,5.5%,15.4%,19.2%,18.8%
BLA         ,,,,,,,,5.2%,9.3%,9.6%,8.2%,9.4%,4.3%,7.6%
BLAND       ,-121.4%,-21.1%,24.2%,-29.2%,56.4%,11.3%,60.0%,41.7%,13.9%,18.5%,13.9%,36.5%,29.6%,20.2%
BLISS       ,,,1.4%,1.2%,-6.4%,7.9%,-37.2%,-6.9%,4.3%,-7.5%,-13.5%,14.7%,1.0%,2.9%
BOL         ,,,8.7%,9.6%,17.2%,22.7%,27.3%,26.2%,22.1%,20.9%,22.4%,22.2%,17.4%,17.9%
BRC         ,-37.0%,-55.2%,-10.3%,-0.8%,0.8%,1.0%,3.3%,1.6%,-18.2%,-20.1%,4.8%,4.9%,4.3%,4.5%
BROCK       ,,,,,,31.8%,29.3%,15.4%,13.1%,14.1%,24.8%,-22.1%,13.8%,10.2%
BROOK       ,-172.6%,5.7%,-29.7%,-54.2%,51.4%,32.1%,-60.6%,40.7%,44.5%,-24.4%,59.9%,39.9%,51.7%,68.2%
BSBM        ,,,,-3.1%,6.7%,9.1%,4.4%,5.8%,8.3%,5.1%,-0.5%,3.9%,0.5%,-4.2%
BSM         ,,,,,,,0.6%,3.8%,-3.4%,-1.4%,3.1%,5.3%,4.8%,2.6%
BTC         ,,40.9%,32.6%,28.2%,-5.9%,-25.5%,-129.1%,-179.1%,-140.5%,-220.4%,,-498.1%,-203.6%,-64.4%
BTNC        ,1.5%,2.3%,3.1%,3.2%,-4.4%,1.7%,0.6%,1.3%,2.9%,1.9%,0.3%,0.0%,-0.5%,-0.8%
BTS         ,,,,-73.4%,-10.2%,744.9%,43.9%,1.9%,14.3%,4.2%,22.8%,37.0%,52.9%,32.6%
BUI         ,3.8%,1.9%,8.0%,8.1%,4.8%,7.0%,7.5%,7.6%,5.8%,1.1%,-8.9%,5.2%,12.0%,7.1%
BWG         ,,,,,,18.4%,12.1%,-7.4%,5.7%,9.2%,7.2%,12.1%,13.4%,18.2%
CCET        ,4.9%,5.1%,3.2%,3.0%,3.1%,3.1%,1.7%,1.2%,1.3%,0.4%,0.8%,0.4%,0.7%,1.0%
CCP         ,,11.9%,6.1%,-0.4%,-7.0%,-2.0%,-5.2%,-7.8%,-0.5%,1.6%,8.3%,13.5%,5.8%,2.2%
CEN         ,-7.7%,1.4%,27.2%,7.9%,-25.9%,8.8%,10.3%,7.1%,8.3%,0.4%,1.3%,-0.1%,5.5%,-12.0%
CENTEL      ,5.0%,6.2%,9.8%,8.6%,6.1%,5.5%,3.9%,0.6%,-0.5%,4.7%,10.2%,7.5%,6.4%,8.7%
CFRESH      ,1.3%,-1.4%,4.4%,5.8%,3.0%,0.7%,2.8%,8.4%,5.9%,6.1%,8.4%,-4.8%,4.8%,5.7%
CGD         ,-5.2%,-8.1%,-5.2%,-2.4%,9.0%,,,,,,,,7.8%,-88.5%
CHARAN      ,13.1%,11.6%,12.3%,17.2%,28.0%,25.3%,20.1%,15.8%,10.8%,-25.4%,17.1%,1.0%,9.8%,15.2%
CHOTI       ,0.2%,-0.4%,3.0%,1.7%,1.3%,3.0%,3.4%,4.5%,5.1%,7.1%,5.7%,0.7%,0.0%,1.3%
CHOW        ,,,,,,,,,,3.3%,0.6%,2.2%,1.1%,-4.5%
CHUO        ,3.5%,2.7%,1.1%,3.7%,7.1%,7.2%,4.4%,0.8%,5.3%,-3.2%,-6.6%,4.9%,3.2%,-37.0%
CI          ,27.2%,7.4%,7.3%,6.0%,6.9%,2.2%,8.2%,5.0%,-1.6%,-1.7%,5.6%,15.7%,-1.2%,4.7%
CIG         ,,,,4.5%,1.5%,,-1.1%,-4.7%,-8.7%,-11.8%,-8.2%,-0.5%,8.1%,-0.7%
CIMBT       ,14.8%,-41.3%,6.7%,5.8%,-28.7%,-43.0%,-15.6%,0.0%,10.5%,12.0%,12.4%,9.8%,6.3%,6.3%
CITY        ,,,,,25.5%,23.3%,16.9%,13.6%,13.8%,15.6%,19.1%,17.9%,19.4%,20.3%
CK          ,-2.5%,3.5%,2.6%,4.6%,-5.6%,0.1%,3.8%,0.6%,-3.3%,6.4%,2.5%,18.3%,6.5%,5.8%
CM          ,10.6%,8.9%,7.1%,6.7%,7.8%,9.3%,11.0%,15.8%,11.2%,4.2%,11.5%,9.3%,4.2%,8.3%
CMO         ,,,10.8%,5.4%,9.0%,0.1%,-2.0%,-1.2%,4.3%,-4.8%,6.8%,3.0%,-3.0%,2.0%
CMR         ,10.0%,13.5%,8.8%,8.5%,10.0%,10.4%,-0.6%,9.3%,7.3%,6.8%,9.1%,13.5%,13.0%,14.9%
CNS         ,13.6%,19.7%,28.6%,20.6%,14.8%,13.3%,14.9%,8.1%,15.8%,11.8%,16.9%,24.7%,25.9%,24.6%
CNT         ,1.4%,31.2%,7.4%,3.7%,1.3%,1.8%,0.1%,3.5%,8.6%,3.4%,6.4%,4.9%,-3.7%,0.3%
COLOR       ,,,,,,,,,,3.0%,-0.1%,-4.5%,-1.9%,3.8%
CPALL       ,,2.2%,2.2%,1.5%,1.3%,1.3%,2.6%,4.2%,4.7%,4.9%,5.6%,3.7%,2.7%,3.4%
CPF         ,3.4%,2.6%,1.3%,5.8%,2.0%,0.9%,2.0%,6.0%,7.0%,7.4%,5.0%,1.7%,2.4%,2.5%
CPH         ,4.3%,9.7%,3.9%,4.5%,0.7%,-2.2%,-1.9%,0.7%,-6.2%,-2.4%,-3.6%,-5.1%,-1.0%,3.7%
CPI         ,11.0%,10.0%,8.1%,-3.0%,0.0%,0.7%,5.5%,2.7%,,3.4%,0.8%,0.2%,1.1%,-0.5%
