Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  3.49 ,  3.49 ,  3.02 ,  3.00 ,  3.19 ,  3.46 ,  4.00 
A           ,,,  17.65 ,  26.79 ,  27.93 ,  41.20 ,  29.13 ,  10.05 ,  17.34 ,  30.87 ,  29.80 ,  33.59 ,  29.28 ,  17.99 
ACAP        ,,,,  13.60 ,  12.35 ,  46.48 ,  95.32 ,  443.91 ,"  1,042.00 ",  146.88 ,  88.95 ,  109.64 ,  142.14 ,  76.03 
ADAM        ,,  17.88 ,  14.38 ,  22.34 ,  38.71 ,  26.24 ,  40.71 ,  33.52 ,  29.45 ,  10.76 ,  21.71 ,  35.62 ,  58.92 ,  136.82 
ADVANC      ,  17.20 ,  13.77 ,  11.44 ,  10.89 ,  12.50 ,  11.78 ,  10.13 ,  9.96 ,  8.92 ,  8.88 ,  8.55 ,  10.53 ,  12.75 ,  13.07 
AEONTS      ,,,  44.39 ,  45.81 ,  41.16 ,  39.73 ,  67.72 ,  65.47 ,  40.86 ,  40.51 ,  36.58 ,  42.01 ,  44.36 ,  44.78 
AF          ,,,  40.72 ,  34.96 ,  41.04 ,  38.79 ,  43.67 ,  36.93 ,,  40.68 ,  44.71 ,  41.40 ,  45.39 ,  47.97 
AFC         ,  4.93 ,  4.90 ,  5.15 ,  4.65 ,  4.41 ,  4.03 ,  4.75 ,  4.86 ,  4.38 ,  3.61 ,  3.73 ,  3.87 ,  4.03 ,  5.25 
AGE         ,,,,,,,,  8.86 ,  7.94 ,  5.64 ,  6.94 ,  6.48 ,  5.76 ,  9.00 
AH          ,  4.95 ,  4.61 ,  4.05 ,  3.93 ,  4.55 ,  5.99 ,  6.81 ,  7.67 ,  5.95 ,  10.42 ,  5.10 ,  5.49 ,  5.11 ,  5.41 
AHC         ,  6.89 ,  7.03 ,  6.39 ,  7.41 ,  7.31 ,  9.46 ,  10.06 ,  9.85 ,  7.74 ,  7.35 ,  6.97 ,  7.72 ,  7.04 ,  8.00 
AI          ,,,  13.05 ,  10.32 ,  12.62 ,  8.89 ,  6.40 ,  5.93 ,  5.62 ,  4.64 ,  4.92 ,  4.07 ,  3.69 ,  4.76 
AIT         ,,  9.85 ,  17.88 ,  15.73 ,  10.36 ,  14.07 ,  11.06 ,  11.50 ,  9.71 ,  10.82 ,  12.12 ,  12.53 ,  11.31 ,  12.90 
AJ          ,  6.51 ,  6.41 ,  6.69 ,  7.36 ,  6.95 ,  5.93 ,  4.99 ,  6.21 ,  5.39 ,  5.02 ,  6.09 ,  6.58 ,  6.56 ,  7.19 
AKR         ,,,,,  15.86 ,  17.48 ,  13.55 ,  19.16 ,  16.52 ,  15.35 ,  15.05 ,  17.18 ,  21.27 ,  19.88 
ALUCON      ,  8.88 ,  8.58 ,  8.18 ,  8.26 ,  7.61 ,  7.48 ,  6.07 ,  6.07 ,  7.26 ,  5.70 ,  5.98 ,  5.93 ,  5.53 ,  5.25 
AMANAH      ,  84.01 ,  0.64 ,  0.60 ,  43.51 ,  53.05 ,  52.66 ,  51.31 ,  82.84 ,  51.85 ,  121.26 ,  78.65 ,  73.09 ,  140.45 ,  140.09 
AMATA       ,  9.85 ,  11.56 ,  15.93 ,  13.19 ,  17.93 ,  14.93 ,  13.51 ,  22.32 ,  15.52 ,  19.09 ,  17.05 ,  17.32 ,  13.78 ,  19.00 
AMC         ,,,  2.14 ,  2.04 ,  2.40 ,  2.03 ,  2.52 ,  3.59 ,  2.71 ,  2.26 ,  2.35 ,  3.16 ,  3.24 ,  3.35 
AOT         ,,,  45.14 ,  48.69 ,  57.93 ,  92.28 ,  84.12 ,,,  47.37 ,,  38.50 ,  37.96 ,  34.72 
AP          ,  9.26 ,  6.97 ,  11.09 ,  13.55 ,  15.03 ,  15.18 ,  10.33 ,  11.15 ,  15.36 ,  19.76 ,  18.07 ,  19.89 ,  17.89 ,  17.98 
APCO        ,,,,,,,,,,  58.64 ,  61.44 ,  55.43 ,  50.58 ,  55.02 
APCS        ,,,,,,,,,,  12.85 ,  12.85 ,  12.23 ,  11.64 ,  11.30 
APURE       ,  26.92 ,  13.15 ,  10.51 ,  10.53 ,  29.19 ,  29.33 ,  7.89 ,  9.82 ,  14.80 ,  9.73 ,  9.15 ,  9.34 ,  7.86 ,  16.60 
APX         ,,,,,  5.10 ,  2.45 ,,,,,,,  8.87 ,  16.82 
AQUA        ,,,  36.63 ,  42.11 ,  64.82 ,  66.79 ,  44.11 ,  40.80 ,  34.81 ,  48.87 ,  45.43 ,  27.30 ,  26.12 ,  21.49 
ARIP        ,,,,,,,,,  21.05 ,  25.62 ,  24.99 ,  12.02 ,  21.76 ,  17.43 
AS          ,,,,,,,  26.62 ,  25.51 ,  25.06 ,  25.58 ,  25.36 ,  28.48 ,  33.72 ,  48.93 
ASIA        ,  (1.83),  17.82 ,  16.83 ,  16.91 ,  18.64 ,  17.59 ,  17.90 ,  19.23 ,  19.82 ,  22.74 ,  20.22 ,  20.80 ,  19.48 ,  20.97 
ASIAN       ,  6.52 ,  6.48 ,  7.31 ,  7.87 ,  7.69 ,  8.63 ,  6.36 ,  5.88 ,  6.27 ,  5.54 ,  5.20 ,  5.45 ,  6.35 ,  7.04 
ASIMAR      ,  25.65 ,  13.43 ,  14.47 ,  15.08 ,  19.41 ,  15.08 ,  10.92 ,  30.20 ,  19.54 ,  20.40 ,  19.28 ,  17.42 ,  20.83 ,  19.37 
ASK         ,,,,  49.89 ,  40.62 ,  37.84 ,  38.38 ,  36.05 ,  35.37 ,  33.65 ,  34.29 ,  31.45 ,  29.27 ,  30.05 
ASP         ,  22.58 ,  11.25 ,  13.10 ,  16.97 ,  18.57 ,  16.99 ,  21.20 ,  23.17 ,  20.32 ,  55.68 ,  58.86 ,  56.78 ,  52.15 ,  62.14 
AYUD        ,  28.76 ,  22.56 ,  28.06 ,  29.08 ,  25.01 ,  27.81 ,  31.04 ,  28.04 ,  25.62 ,  17.06 ,  16.91 ,  22.82 ,  20.17 ,  19.06 
BAFS        ,  18.89 ,  18.28 ,  20.61 ,  20.44 ,  18.76 ,  14.26 ,  15.86 ,  16.15 ,  16.92 ,  16.49 ,  19.45 ,  17.80 ,  18.36 ,  16.97 
BANPU       ,  21.74 ,  15.00 ,  13.05 ,  13.32 ,  12.26 ,  15.85 ,  12.25 ,  13.33 ,  15.97 ,  13.77 ,  14.58 ,  14.83 ,  14.33 ,  16.02 
