,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  54.43 ,  42.00 ,  46.17 ,  10.56 ,  52.92 ,  71.60 ,  88.96 
A           ,,,  42.34 ,,,,,,,  29.92 ,  32.13 ,  213.39 ,,  18.09 
ABICO       ,,,,,,,,,,,,,,  11.17 
ACAP        ,,,,  92.96 ,  86.26 ,  16.20 ,  (48.03),,,,,  (232.37),,
ADAM        ,,  84.06 ,  40.81 ,,,,,,,,,,,
ADVANC      ,  39.80 ,  64.99 ,  69.03 ,  98.23 ,  114.48 ,  114.39 ,  113.72 ,  196.44 ,  99.99 ,  112.81 ,  92.90 ,  99.58 ,  99.01 ,  98.64 
AEONTS      ,  42.80 ,  36.65 ,  35.33 ,  37.94 ,  37.48 ,  40.85 ,  43.67 ,  44.04 ,  53.34 ,  54.74 ,  341.47 ,  51.08 ,  34.48 ,  35.68 
AF          ,,,  51.82 ,,  45.00 ,  57.80 ,  61.74 ,  65.69 ,,  77.95 ,  90.83 ,"  1,372.35 ","  2,548.06 ","  11,034.48 "
AFC         ,,,,,,,,,,,,,,
AGE         ,,,,,,,,  68.15 ,  1.91 ,  2.80 ,,  4.56 ,  (8.63),  74.58 
AH          ,  10.15 ,  20.12 ,  23.90 ,  26.34 ,  25.13 ,  25.24 ,  27.22 ,,  29.86 ,  (11.04),  18.22 ,  25.88 ,  26.37 ,  30.91 
AHC         ,  50.85 ,  49.71 ,  46.81 ,  24.27 ,  19.43 ,  35.53 ,  23.79 ,  30.49 ,  36.89 ,  43.00 ,  43.51 ,  50.36 ,  53.63 ,  51.46 
AI          ,,,  92.35 ,  81.01 ,,  107.09 ,  152.37 ,  51.02 ,  52.22 ,  286.10 ,  92.00 ,"  2,156.46 ",  106.58 ,  137.15 
AIT         ,,  40.96 ,  53.17 ,  58.42 ,  40.57 ,  79.86 ,  78.03 ,  67.76 ,  75.75 ,  76.60 ,  74.51 ,  99.96 ,  62.66 ,  79.43 
AJ          ,,  58.67 ,  31.13 ,  31.20 ,  35.22 ,  30.50 ,  29.15 ,  37.44 ,  32.85 ,  31.82 ,  31.53 ,,,  52.69 
AKR         ,,,,,  57.44 ,  165.42 ,  (166.21),,,,  3.95 ,  13.32 ,  89.83 ,  70.99 
