Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  13.61 ,  10.58 ,  9.41 ,  7.18 ,  8.53 ,  6.14 ,  5.16 
A           ,,,  8.21 ,  0.59 ,  0.57 ,  (1.45),  1.44 ,  12.58 ,  10.88 ,  2.81 ,  2.89 ,  1.47 ,  1.93 ,  3.53 
ACAP        ,,,,  19.62 ,  14.76 ,  8.49 ,  5.88 ,  2.57 ,  6.08 ,  14.05 ,  (5.76),  (11.54),  (5.39),  (2.50)
ADAM        ,,  18.93 ,  20.04 ,  (23.02),  (81.55),  (18.09),  (16.07),  (22.22),  (39.01),  (7.44),  (48.90),  (19.27),  (1.32),  (10.21)
ADVANC      ,  18.61 ,  22.88 ,  26.86 ,  24.04 ,  19.82 ,  19.39 ,  20.60 ,  20.65 ,  28.56 ,  41.68 ,  49.78 ,  44.36 ,  39.95 ,  33.18 
AEONTS      ,  4.41 ,  5.48 ,  5.69 ,  6.32 ,  6.24 ,  5.63 ,  5.54 ,  4.71 ,  3.56 ,  3.52 ,  1.09 ,  4.98 ,  5.62 ,  4.84 
AF          ,,,  2.45 ,  (1.59),  2.85 ,  3.63 ,  3.85 ,  3.50 ,  3.72 ,  3.14 ,  2.85 ,  2.93 ,  1.38 ,  0.52 
AFC         ,  5.88 ,  9.49 ,  4.71 ,  2.63 ,  (5.43),  (1.84),  (4.07),  0.33 ,  1.98 ,  5.27 ,  (2.09),  0.79 ,  1.24 ,  (4.31)
AGE         ,,,,,,,,  3.58 ,  9.70 ,  14.26 ,  1.18 ,  4.83 ,  0.14 ,  6.52 
AH          ,  13.88 ,  14.00 ,  18.82 ,  14.36 ,  5.57 ,  5.93 ,  4.07 ,  0.45 ,  6.71 ,  (0.51),  9.91 ,  7.45 ,  5.01 ,  4.54 
AHC         ,  22.35 ,  22.19 ,  20.90 ,  19.02 ,  15.24 ,  6.32 ,  10.83 ,  7.33 ,  12.29 ,  14.90 ,  20.28 ,  19.08 ,  16.40 ,  13.26 
AI          ,,,  18.79 ,  14.10 ,  1.88 ,  10.90 ,  7.65 ,  6.18 ,  11.30 ,  3.44 ,  7.64 ,  13.07 ,  10.21 ,  4.48 
AIT         ,,  13.41 ,  8.69 ,  8.47 ,  19.00 ,  11.42 ,  21.40 ,  23.70 ,  24.95 ,  25.85 ,  15.62 ,  17.75 ,  18.98 ,  14.97 
AJ          ,  24.25 ,  14.71 ,  10.03 ,  6.34 ,  5.11 ,  5.17 ,  5.83 ,  7.94 ,  20.42 ,  15.80 ,  3.65 ,  (0.72),  (2.17),  1.19 
AKR         ,,,,,  9.69 ,  5.60 ,  3.75 ,  (2.50),  (7.92),  4.86 ,  13.78 ,  30.40 ,  7.97 ,  7.17 
ALUCON      ,  18.17 ,  12.61 ,  12.99 ,  10.99 ,  11.74 ,  14.88 ,  21.91 ,  21.00 ,  18.23 ,  14.97 ,  15.65 ,  15.12 ,  14.54 ,  14.79 
AMANAH      ,  3.91 ,  2.64 ,  2.35 ,  1.07 ,  0.79 ,  0.91 ,  (4.38),  0.37 ,  0.09 ,  1.38 ,  0.41 ,  (1.69),  (6.47),  (5.76)
AMATA       ,  14.11 ,  18.38 ,  15.85 ,  22.17 ,  15.38 ,  16.75 ,  16.38 ,  3.93 ,  10.71 ,  9.65 ,  12.66 ,  11.45 ,  14.75 ,  10.90 
AMC         ,,,  16.89 ,  10.19 ,  14.60 ,  4.63 ,  10.87 ,  6.07 ,  5.18 ,  6.03 ,  7.51 ,  7.35 ,  0.61 ,  (5.65)
AOT         ,,,  6.66 ,  7.92 ,  8.79 ,  3.52 ,  7.81 ,  2.12 ,  3.10 ,  4.02 ,  8.12 ,  15.31 ,  11.15 ,  15.92 
AP          ,  27.19 ,  29.64 ,  18.99 ,  11.54 ,  17.63 ,  12.14 ,  16.22 ,  15.69 ,  15.35 ,  9.67 ,  10.53 ,  8.93 ,  10.25 ,  10.14 
APCO        ,,,,,,,,,,  17.39 ,  17.27 ,  23.60 ,  28.99 ,  21.05 
APCS        ,,,,,,,,,,  7.42 ,  7.92 ,  0.84 ,  (4.08),  0.44 
APURE       ,  4.94 ,  (4.06),  4.20 ,  5.49 ,  6.73 ,  (2.47),  (1.62),  9.54 ,  (6.62),  4.39 ,  9.28 ,  3.94 ,  11.24 ,  9.90 
APX         ,,,,,  88.74 ,  5.63 ,  (10.68),  (7.43),  (21.27),  (7.96),  (7.43),  (4.18),  5.31 ,  7.10 
AQUA        ,,,  13.16 ,  (8.26),  (24.52),  (11.33),  1.36 ,  (4.10),  (0.04),  5.13 ,  4.79 ,  25.02 ,  17.24 ,  8.75 
ARIP        ,,,,,,,,,  20.73 ,  11.58 ,  16.73 ,  15.28 ,  (6.08),  (4.64)
AS          ,,,,,,,  20.52 ,  16.16 ,  21.17 ,  20.06 ,  20.31 ,  4.17 ,  (31.41),  (50.31)
ASIA        ,  2.37 ,  2.04 ,  3.99 ,  5.70 ,  7.41 ,  2.80 ,  26.19 ,  5.81 ,  3.41 ,  3.41 ,  3.91 ,  8.25 ,  4.42 ,  5.99 
ASIAN       ,  7.83 ,  16.28 ,  13.01 ,  6.89 ,  5.83 ,  (6.01),  10.40 ,  5.37 ,  6.17 ,  7.07 ,  3.46 ,  (0.39),  0.95 ,  5.91 
