Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2S          ,,,,,,,,  16.58 ,  12.65 ,  11.02 ,  8.56 ,  10.33 ,  6.02 ,  4.61 
A           ,,,  16.46 ,  0.59 ,  0.56 ,  (5.54),  2.34 ,  31.07 ,  20.00 ,  3.18 ,  3.84 ,  0.51 ,  1.44 ,  7.27 
ACAP        ,,,,  15.40 ,  12.41 ,  38.57 ,  (17.78),  13.50 ,  29.57 ,  46.96 ,  (6.26),  (12.58),  (5.98),  (3.66)
ADAM        ,,  14.02 ,  17.97 ,  (27.11),  (125.49),  (32.38),  (33.09),  (31.41),  (57.06),  (13.76),  (117.02),  (107.18),  (144.39),  239.55 
ADVANC      ,  24.92 ,  33.62 ,  32.00 ,  27.49 ,  22.09 ,  21.46 ,  22.20 ,  23.60 ,  36.44 ,  55.25 ,  84.46 ,  81.42 ,  77.91 ,  82.32 
AEONTS      ,  25.00 ,  34.68 ,  35.91 ,  34.95 ,  34.19 ,  30.52 ,  27.32 ,  23.76 ,  17.53 ,  15.87 ,  2.61 ,  25.23 ,  30.95 ,  24.99 
AF          ,,,  12.00 ,  (16.19),  16.03 ,  21.36 ,  21.16 ,  19.01 ,  21.06 ,  18.32 ,  13.17 ,  18.74 ,  7.06 ,  0.03 
AFC         ,  6.29 ,  10.96 ,  7.21 ,  2.10 ,  (7.75),  (2.83),  (4.60),  0.32 ,  2.12 ,  5.58 ,  (2.26),  0.87 ,  1.36 ,  (4.92)
AGE         ,,,,,,,,  3.31 ,  28.29 ,  31.69 ,  (2.17),  8.10 ,  (2.90),  8.55 
AH          ,  23.00 ,  30.46 ,  42.18 ,  22.91 ,  9.40 ,  8.37 ,  5.51 ,  (2.50),  8.18 ,  (9.19),  20.85 ,  12.08 ,  6.78 ,  5.53 
AHC         ,  19.26 ,  18.97 ,  18.05 ,  20.49 ,  16.71 ,  5.63 ,  10.05 ,  6.51 ,  11.26 ,  12.25 ,  18.30 ,  17.78 ,  15.36 ,  12.47 
AI          ,,,  19.28 ,  14.14 ,  2.07 ,  13.39 ,  11.27 ,  8.03 ,  16.36 ,  2.96 ,  13.09 ,  13.27 ,  13.09 ,  8.71 
AIT         ,,  20.13 ,  12.63 ,  10.98 ,  28.12 ,  11.94 ,  25.19 ,  32.96 ,  33.99 ,  33.19 ,  25.97 ,  29.48 ,  25.96 ,  19.25 
AJ          ,  71.90 ,  36.97 ,  29.11 ,  15.10 ,  7.50 ,  9.49 ,  11.67 ,  20.04 ,  52.82 ,  31.19 ,  5.45 ,  (2.82),  (7.57),  0.12 
AKR         ,,,,,  11.17 ,  3.93 ,  (4.18),  (26.96),  (64.29),  (31.74),  33.17 ,  60.06 ,  8.01 ,  7.13 
ALUCON      ,  24.82 ,  18.13 ,  19.09 ,  16.02 ,  15.15 ,  17.00 ,  25.40 ,  24.31 ,  20.28 ,  15.35 ,  18.67 ,  19.00 ,  18.93 ,  17.88 
AMANAH      ,  7.23 ,  7.66 ,  7.64 ,  2.30 ,  1.28 ,  1.31 ,  (10.87),  0.10 ,  0.15 ,  0.87 ,  1.11 ,  (4.42),  (19.73),  (14.29)
AMATA       ,  37.46 ,  29.48 ,  30.47 ,  31.43 ,  21.13 ,  26.23 ,  25.89 ,  6.38 ,  17.04 ,  15.31 ,  19.42 ,  17.65 ,  24.13 ,  11.43 
AMC         ,,,  23.34 ,  12.29 ,  19.62 ,  3.64 ,  9.55 ,  7.37 ,  5.81 ,  7.34 ,  9.96 ,  9.49 ,  (1.00),  (14.79)
AOT         ,,,  8.17 ,  12.10 ,  15.39 ,  1.56 ,  10.07 ,  0.96 ,  1.93 ,  3.48 ,  8.72 ,  19.32 ,  12.96 ,  18.22 
AP          ,  52.25 ,  47.37 ,  28.90 ,  18.54 ,  29.77 ,  17.02 ,  26.64 ,  24.93 ,  25.18 ,  15.38 ,  20.10 ,  15.18 ,  17.52 ,  15.66 
APCO        ,,,,,,,,,,  13.50 ,  14.88 ,  20.17 ,  25.84 ,  18.58 
APCS        ,,,,,,,,,,  9.96 ,  11.08 ,  (1.79),  (8.40),  (0.77)
APURE       ,  0.16 ,  (24.01),  (1.11),  5.06 ,  3.30 ,  (29.28),  (27.80),  11.87 ,  (14.53),  3.23 ,  14.82 ,  3.43 ,  12.30 ,  9.55 
APX         ,,,,,  (208.72),  (1.71),  (18.23),  (19.75),  (66.81),  (73.66),  (65.39),  (53.70),  16.99 ,  21.84 
AQUA        ,,,  17.74 ,  (13.36),  (33.55),  (20.50),  (7.05),  (7.67),  (7.54),  0.80 ,  3.78 ,  28.19 ,  13.20 ,  9.05 
ARIP        ,,,,,,,,,  18.48 ,  10.00 ,  14.46 ,  14.55 ,  (6.29),  (4.90)
